Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	new set point ()
0.44831036	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12070576	0.00000000
0.44832193	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.25270617	0.00000000
0.44833352	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.25270617	0.00000000
0.44834507	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.25270617	0.00000000
0.44835667	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.25270617	0.00000000
0.44836824	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.25270617	0.00000000
0.44837980	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.18809201	0.00000000
0.44839137	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.18809201	0.00000000
0.44840294	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.18809201	0.00000000
0.44841453	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.18809201	0.00000000
0.44842610	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.18809201	0.00000000
0.44843766	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15794115	0.00000000
0.44844924	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15794115	0.00000000
0.44846081	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15794115	0.00000000
0.44847240	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15794115	NaN
0.44848397	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15794115	NaN
0.44849556	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.14915659	NaN
0.44850711	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.14915659	NaN
0.44851868	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.14915659	NaN
0.44853027	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.14915659	NaN
0.44854184	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.14915659	NaN
0.44855341	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12283517	NaN
0.44856498	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12283517	NaN
0.44857656	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12283517	NaN
0.44858812	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12283517	NaN
0.44859971	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.12283517	NaN
0.44861128	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09783486	NaN
0.44862285	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09783486	NaN
0.44863444	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09783486	NaN
0.44864601	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09783486	NaN
0.44865758	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09783486	NaN
0.44866917	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08804666	NaN
0.44868072	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08804666	NaN
0.44869231	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08804666	NaN
0.44870388	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08804666	NaN
0.44871545	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08804666	NaN
0.44872702	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08804666	NaN
0.44873859	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09441626	NaN
0.44875016	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09441626	NaN
0.44876176	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09441626	NaN
0.44877332	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09441626	NaN
0.44878490	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09441626	NaN
0.44879646	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08817176	NaN
0.44880804	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08817176	NaN
0.44881961	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08817176	NaN
0.44883120	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08817176	NaN
0.44884276	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08817176	NaN
0.44885433	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08057323	NaN
0.44886590	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08057323	NaN
0.44887749	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08057323	NaN
0.44888906	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08057323	NaN
0.44890063	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08057323	NaN
0.44891220	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07874294	NaN
0.44892379	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07874294	NaN
0.44893535	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07874294	NaN
0.44894694	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07874294	NaN
0.44895850	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07874294	NaN
0.44897007	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44898164	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44899323	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44900480	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44901637	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44902794	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44903953	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44905110	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44906267	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44907424	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44908581	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06950489	NaN
