Coagulant mL/s	Turbidity	Average Turbidity
0.0026336	0.14919893	12.28110457
0.0026336	0.14919893	
0.0026336	0.14919893	
0.0026336	0.14919893	
0.0026336	0.14919893	
0.0026336	0.14798875	
0.0026336	0.14798875	
0.0026336	0.14798875	
0.0026336	0.14798875	
0.0026336	0.14798875	
0.0026336	0.14798875	
0.0026336	0.14514163	
0.0026336	0.14514163	
0.0026336	0.14514163	
0.0026336	0.14514163	
0.0026336	0.14514163	
0.0026336	0.14505464	
0.0026336	0.14505464	
0.0026336	0.14505464	
0.0026336	0.14505464	
0.0026336	0.14505464	
0.0026336	0.14600182	
0.0026336	0.14600182	
0.0026336	0.14600182	
0.0026336	0.14600182	
0.0026336	0.14600182	
0.0026336	0.1444519	
0.0026336	0.1444519	
0.0026336	0.1444519	
0.0026336	0.1444519	
0.0026336	0.1444519	
0.0026336	0.17116453	
0.0026336	0.17116453	
0.0026336	0.17116453	
0.0026336	0.17116453	
0.0026336	0.17116453	
0.0026336	0.16371763	
0.0026336	0.16371763	
0.0026336	0.16371763	
0.0026336	0.16371763	
0.0026336	0.16371763	
0.0026336	0.15660623	
0.0026336	0.15660623	
0.0026336	0.15660623	
0.0026336	0.15660623	
0.0026336	0.15660623	
0.0026336	0.15056643	
0.0026336	0.15056643	
0.0026336	0.15056643	
0.0026336	0.15056643	
0.0026336	0.15056643	
0.0026336	0.14650348	
0.0026336	0.14650348	
0.0026336	0.14650348	
0.0026336	0.14650348	
0.0026336	0.14650348	
0.0026336	0.14378007	
0.0026336	0.14378007	
0.0026336	0.14378007	
0.0026336	0.14378007	
0.0026336	0.14378007	
0.0026336	0.14265428	
0.0026336	0.14265428	
0.0026336	0.14265428	
0.0026336	0.14265428	
0.0026336	0.14265428	
0.0026336	0.14171268	
0.0026336	0.14171268	
0.0026336	0.14171268	
0.0026336	0.14171268	
0.0026336	0.14171268	
0.0026336	0.14354533	
0.0026336	0.14354533	
0.0026336	0.14354533	
0.0026336	0.14354533	
0.0026336	0.14354533	
0.0026336	0.14278229	
0.0026336	0.14278229	
0.0026336	0.14278229	
0.0026336	0.14278229	
0.0026336	0.14278229	
0.0026336	0.14274716	
0.0026336	0.14274716	
0.0026336	0.14274716	
0.0026336	0.14274716	
0.0026336	0.14274716	
0.0026336	0.14882293	
0.0026336	0.14882293	
0.0026336	0.14882293	
0.0026336	0.14882293	
0.0026336	0.14882293	
0.0026336	0.14817239	
0.0026336	0.14817239	
0.0026336	0.14817239	
0.0026336	0.14817239	
0.0026336	0.14817239	
0.0026336	0.14616324	
0.0026336	0.14616324	
0.0026336	0.14616324	
0.0026336	0.14616324	
0.0026336	0.14616324	
0.0026336	0.14433882	
0.0026336	0.14433882	
0.0026336	0.14433882	
0.0026336	0.14433882	
0.0026336	0.14433882	
0.0026336	0.14406958	
0.0026336	0.14406958	
0.0026336	0.14406958	
0.0026336	0.14406958	
0.0026336	0.14406958	
0.0026336	0.14290316	
0.0026336	0.14290316	
0.0026336	0.14290316	
0.0026336	0.14290316	
0.0026336	0.14290316	
0.0026336	0.14188734	
0.0026336	0.14188734	
0.0026336	0.14188734	
0.0026336	0.14188734	
0.0026336	0.14188734	
0.0026336	0.14070082	
0.0026336	0.14070082	
0.0026336	0.14070082	
0.0026336	0.14070082	
0.0026336	0.14070082	
0.0026336	0.1398312	
0.0026336	0.1398312	
0.0026336	0.1398312	
0.0026336	0.1398312	
0.0026336	0.1398312	
0.0026336	0.13990366	
0.0026336	0.13990366	
0.0026336	0.13990366	
0.0026336	0.13990366	
0.0026336	0.13990366	
