Coagulant mL/s	Turbidity	Average Turbidity
0.0046085	5.37543201	12.44923765
0.0046085	5.37543201	
0.0046085	5.37543201	
0.0046085	5.37543201	
0.0046085	5.37543201	
0.0046085	5.55529308	
0.0046085	5.55529308	
0.0046085	5.55529308	
0.0046085	5.55529308	
0.0046085	5.55529308	
0.0046085	5.88665104	
0.0046085	5.88665104	
0.0046085	5.88665104	
0.0046085	5.88665104	
0.0046085	5.88665104	
0.0046085	4.9777503	
0.0046085	4.9777503	
0.0046085	4.9777503	
0.0046085	4.9777503	
0.0046085	4.9777503	
0.0046085	4.52828169	
0.0046085	4.52828169	
0.0046085	4.52828169	
0.0046085	4.52828169	
0.0046085	4.52828169	
0.0046085	4.30728722	
0.0046085	4.30728722	
0.0046085	4.30728722	
0.0046085	4.30728722	
0.0046085	4.30728722	
0.0046085	5.21374846	
0.0046085	5.21374846	
0.0046085	5.21374846	
0.0046085	5.21374846	
0.0046085	5.21374846	
0.0046085	5.44457579	
0.0046085	5.44457579	
0.0046085	5.44457579	
0.0046085	5.44457579	
0.0046085	5.44457579	
0.0046085	5.51430559	
0.0046085	5.51430559	
0.0046085	5.51430559	
0.0046085	5.51430559	
0.0046085	5.51430559	
0.0046085	5.10286474	
0.0046085	5.10286474	
0.0046085	5.10286474	
0.0046085	5.10286474	
0.0046085	5.10286474	
0.0046085	4.57099152	
0.0046085	4.57099152	
0.0046085	4.57099152	
0.0046085	4.57099152	
0.0046085	4.57099152	
0.0046085	4.05735302	
0.0046085	4.05735302	
0.0046085	4.05735302	
0.0046085	4.05735302	
0.0046085	4.05735302	
0.0046085	3.68114066	
0.0046085	3.68114066	
0.0046085	3.68114066	
0.0046085	3.68114066	
0.0046085	3.68114066	
0.0046085	3.97271848	
0.0046085	3.97271848	
0.0046085	3.97271848	
0.0046085	3.97271848	
0.0046085	3.97271848	
0.0046085	4.36356878	
0.0046085	4.36356878	
0.0046085	4.36356878	
0.0046085	4.36356878	
0.0046085	4.36356878	
0.0046085	4.35858917	
0.0046085	4.35858917	
0.0046085	4.35858917	
0.0046085	4.35858917	
0.0046085	4.35858917	
0.0046085	4.28764963	
0.0046085	4.28764963	
0.0046085	4.28764963	
0.0046085	4.28764963	
0.0046085	4.28764963	
0.0046085	4.40195274	
0.0046085	4.40195274	
0.0046085	4.40195274	
0.0046085	4.40195274	
0.0046085	4.40195274	
0.0046085	4.6686511	
0.0046085	4.6686511	
0.0046085	4.6686511	
0.0046085	4.6686511	
0.0046085	4.6686511	
0.0046085	5.25099421	
0.0046085	5.25099421	
0.0046085	5.25099421	
0.0046085	5.25099421	
0.0046085	5.25099421	
0.0046085	5.36463118	
0.0046085	5.36463118	
0.0046085	5.36463118	
0.0046085	5.36463118	
0.0046085	5.36463118	
0.0046085	4.97198868	
0.0046085	4.97198868	
0.0046085	4.97198868	
0.0046085	4.97198868	
0.0046085	4.97198868	
0.0046085	4.44883585	
0.0046085	4.44883585	
0.0046085	4.44883585	
0.0046085	4.44883585	
0.0046085	4.44883585	
0.0046085	4.66898394	
0.0046085	4.66898394	
0.0046085	4.66898394	
0.0046085	4.66898394	
0.0046085	4.66898394	
0.0046085	3.92679906	
0.0046085	3.92679906	
0.0046085	3.92679906	
0.0046085	3.92679906	
0.0046085	3.92679906	
0.0046085	4.54584551	
0.0046085	4.54584551	
0.0046085	4.54584551	
0.0046085	4.54584551	
0.0046085	4.54584551	
0.0046085	3.9224205	
0.0046085	3.9224205	
0.0046085	3.9224205	
0.0046085	3.9224205	
0.0046085	3.9224205	
0.0046085	4.53125381	
0.0046085	4.53125381	
0.0046085	4.53125381	
0.0046085	4.53125381	
0.0046085	4.53125381	
0.0046085	4.68673658	
0.0046085	4.68673658	
0.0046085	4.68673658	
0.0046085	4.68673658	
0.0046085	4.68673658	
0.0046085	4.45849037	
0.0046085	4.45849037	
0.0046085	4.45849037	
0.0046085	4.45849037	
0.0046085	4.45849037	
0.0046085	3.66965008	
0.0046085	3.66965008	
0.0046085	3.66965008	
0.0046085	3.66965008	
0.0046085	3.66965008	
0.0046085	3.06291509	
0.0046085	3.06291509	
0.0046085	3.06291509	
0.0046085	3.06291509	
0.0046085	3.06291509	
0.0046085	4.03063059	
0.0046085	4.03063059	
0.0046085	4.03063059	
0.0046085	4.03063059	
0.0046085	4.03063059	
0.0046085	4.35613871	
0.0046085	4.35613871	
0.0046085	4.35613871	
0.0046085	4.35613871	
0.0046085	4.35613871	
0.0046085	4.50619221	
0.0046085	4.50619221	
0.0046085	4.50619221	
0.0046085	4.50619221	
0.0046085	4.50619221	
0.0046085	3.90798092	
0.0046085	3.90798092	
0.0046085	3.90798092	
0.0046085	3.90798092	
0.0046085	3.90798092	
0.0046085	3.91070199	
0.0046085	3.91070199	
0.0046085	3.91070199	
0.0046085	3.91070199	
0.0046085	3.91070199	
0.0046085	3.91070199	
0.0046085	3.50025916	
0.0046085	3.50025916	
0.0046085	3.50025916	
0.0046085	3.50025916	
0.0046085	3.50025916	
0.0046085	3.72817802	
0.0046085	3.72817802	
0.0046085	3.72817802	
0.0046085	3.72817802	
0.0046085	3.72817802	
0.0046085	4.17779827	
0.0046085	4.17779827	
0.0046085	4.17779827	
0.0046085	4.17779827	
0.0046085	4.17779827	
0.0046085	4.53402281	
0.0046085	4.53402281	
0.0046085	4.53402281	
0.0046085	4.53402281	
0.0046085	4.53402281	
0.0046085	4.48208857	
0.0046085	4.48208857	
0.0046085	4.48208857	
0.0046085	4.48208857	
0.0046085	4.48208857	
0.0046085	4.66850042	
0.0046085	4.66850042	
0.0046085	4.66850042	
0.0046085	4.66850042	
0.0046085	4.66850042	
0.0046085	4.5076232	
0.0046085	4.5076232	
0.0046085	4.5076232	
0.0046085	4.5076232	
0.0046085	4.5076232	
0.0046085	5.08782053	
0.0046085	5.08782053	
0.0046085	5.08782053	
0.0046085	5.08782053	
0.0046085	5.08782053	
0.0046085	5.13564062	
0.0046085	5.13564062	
0.0046085	5.13564062	
0.0046085	5.13564062	
0.0046085	5.13564062	
0.0046085	5.24850321	
0.0046085	5.24850321	
0.0046085	5.24850321	
0.0046085	5.24850321	
0.0046085	5.24850321	
0.0046085	5.28881598	
0.0046085	5.28881598	
0.0046085	5.28881598	
0.0046085	5.28881598	
0.0046085	5.28881598	
0.0046085	5.46637535	
0.0046085	5.46637535	
0.0046085	5.46637535	
0.0046085	5.46637535	
0.0046085	5.46637535	
0.0046085	4.23860264	
0.0046085	4.23860264	
0.0046085	4.23860264	
0.0046085	4.23860264	
0.0046085	4.23860264	
0.0046085	4.43412781	
0.0046085	4.43412781	
0.0046085	4.43412781	
0.0046085	4.43412781	
0.0046085	4.43412781	
0.0046085	4.11704683	
0.0046085	4.11704683	
0.0046085	4.11704683	
0.0046085	4.11704683	
0.0046085	4.11704683	
0.0046085	4.72816277	
0.0046085	4.72816277	
0.0046085	4.72816277	
0.0046085	4.72816277	
0.0046085	4.72816277	
0.0046085	4.79377031	
0.0046085	4.79377031	
0.0046085	4.79377031	
0.0046085	4.79377031	
0.0046085	4.79377031	
0.0046085	4.5189743	
0.0046085	4.5189743	
0.0046085	4.5189743	
0.0046085	4.5189743	
0.0046085	4.5189743	
0.0046085	4.67295361	
0.0046085	4.67295361	
0.0046085	4.67295361	
0.0046085	4.67295361	
0.0046085	4.67295361	
0.0046085	4.82336473	
0.0046085	4.82336473	
0.0046085	4.82336473	
0.0046085	4.82336473	
0.0046085	4.82336473	
0.0046085	5.38968372	
0.0046085	5.38968372	
0.0046085	5.38968372	
0.0046085	5.38968372	
0.0046085	5.38968372	
0.0046085	5.35384178	
0.0046085	5.35384178	
0.0046085	5.35384178	
0.0046085	5.35384178	
0.0046085	5.35384178	
0.0046085	5.52826929	
0.0046085	5.52826929	
0.0046085	5.52826929	
0.0046085	5.52826929	
0.0046085	5.52826929	
0.0046085	6.10732174	
0.0046085	6.10732174	
0.0046085	6.10732174	
0.0046085	6.10732174	
0.0046085	6.10732174	
0.0046085	5.65129089	
0.0046085	5.65129089	
0.0046085	5.65129089	
0.0046085	5.65129089	
0.0046085	5.65129089	
0.0046085	5.3267169	
0.0046085	5.3267169	
0.0046085	5.3267169	
