Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,0.11775597,0.50307692,0.08988
32.51851852,8.34074074,0.11775597,1.38276923,0.08988
32.51851852,8.34074074,0.11775597,1.38276923,0.08988
32.51851852,8.34074074,0.11775597,1.38276923,0.08988
32.51851852,8.34074074,0.11775597,1.38276923,0.08988
32.51851852,8.34074074,0.11775597,1.38276923,0.08988
32.51851852,8.34074074,0.10765242,1.38276923,0.08988
32.51851852,8.34074074,0.10765242,1.38276923,0.08988
32.51851852,8.34074074,0.10765242,1.38276923,0.08988
32.51851852,8.34074074,0.10765242,1.38276923,0.08988
32.51851852,8.34074074,0.10765242,1.38276923,0.08988
32.51851852,8.34074074,0.09488431,1.38276923,0.08988
32.51851852,8.34074074,0.09488431,1.38276923,0.08988
32.51851852,8.34074074,0.09488431,1.38276923,0.08988
32.51851852,8.34074074,0.09488431,1.38276923,0.08988
32.51851852,8.34074074,0.09488431,1.38276923,0.08988
32.51851852,8.34074074,0.08482902,1.38276923,0.08988
32.51851852,8.34074074,0.08482902,1.38276923,0.08988
32.51851852,8.34074074,0.08482902,1.38276923,0.08988
32.51851852,8.34074074,0.08482902,1.38276923,0.08988
32.51851852,8.34074074,0.08482902,1.38276923,0.08988
32.51851852,8.34074074,0.08106245,1.38276923,0.08988
32.51851852,8.34074074,0.08106245,1.38276923,0.08988
32.51851852,8.34074074,0.08106245,1.38276923,0.08988
32.51851852,8.34074074,0.08106245,1.38276923,0.08988
32.51851852,8.34074074,0.08106245,1.38276923,0.08988
32.51851852,8.34074074,0.08764704,1.38276923,0.08988
32.51851852,8.34074074,0.08764704,1.38276923,0.08988
32.51851852,8.34074074,0.08764704,1.38276923,0.08988
32.51851852,8.34074074,0.08764704,1.38276923,0.08988
32.51851852,8.34074074,0.08764704,1.38276923,0.08988
32.51851852,8.34074074,0.08554411,1.38276923,0.08988
32.51851852,8.34074074,0.08554411,1.38276923,0.08988
32.51851852,8.34074074,0.08554411,1.38276923,0.08988
32.51851852,8.34074074,0.08554411,1.38276923,0.08988
32.51851852,8.34074074,0.08554411,1.38276923,0.08988
32.51851852,8.34074074,0.07915115,1.38276923,0.08988
32.51851852,8.34074074,0.07915115,1.38276923,0.08988
32.51851852,8.34074074,0.07915115,1.38276923,0.08988
32.51851852,8.34074074,0.07915115,1.38276923,0.08988
32.51851852,8.34074074,0.07915115,1.38276923,0.08988
32.51851852,8.34074074,0.07903173,1.38276923,0.08988
32.51851852,8.34074074,0.07903173,1.38276923,0.08988
32.51851852,8.34074074,0.07903173,1.38276923,0.08988
32.51851852,8.34074074,0.07903173,1.38276923,0.08988
32.51851852,8.34074074,0.07903173,1.38276923,0.08988
32.51851852,8.34074074,0.07889115,1.38276923,0.08988
32.51851852,8.34074074,0.07889115,1.38276923,0.08988
32.51851852,8.34074074,0.07889115,1.38276923,0.08988
32.51851852,8.34074074,0.07889115,1.38276923,0.08988
32.51851852,8.34074074,0.07889115,1.38276923,0.08988
32.51851852,8.34074074,0.07900637,1.38276923,0.08988
32.51851852,8.34074074,0.07900637,1.38276923,0.08988
32.51851852,8.34074074,0.07900637,1.38276923,0.08988
32.51851852,8.34074074,0.07900637,1.38276923,0.08988
32.51851852,8.34074074,0.07900637,1.38276923,0.08988
32.51851852,8.34074074,0.08241846,1.38276923,0.08988
32.51851852,8.34074074,0.08241846,1.38276923,0.08988
32.51851852,8.34074074,0.08241846,1.38276923,0.08988
32.51851852,8.34074074,0.08241846,1.38276923,0.08988
32.51851852,8.34074074,0.08241846,1.38276923,0.08988
32.51851852,8.34074074,0.08817039,1.38276923,0.08988
32.51851852,8.34074074,0.08817039,1.38276923,0.08988
32.51851852,8.34074074,0.08817039,1.38276923,0.08988
32.51851852,8.34074074,0.08817039,1.38276923,0.08988
32.51851852,8.34074074,0.08817039,1.38276923,0.08988
32.51851852,8.34074074,0.09418354,1.38276923,0.08988
32.51851852,8.34074074,0.09418354,1.38276923,0.08988
32.51851852,8.34074074,0.09418354,1.38276923,0.08988
32.51851852,8.34074074,0.09418354,1.38276923,0.08988
32.51851852,8.34074074,0.09418354,1.38276923,0.08988
32.51851852,8.34074074,0.10221224,1.38276923,0.08988
32.51851852,8.34074074,0.10221224,1.38276923,0.08988
32.51851852,8.34074074,0.10221224,1.38276923,0.08988
32.51851852,8.34074074,0.10221224,1.38276923,0.08988
32.51851852,8.34074074,0.10221224,1.38276923,0.08988
