Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Turbidity ()
start expt w/o fluoride probe,,,,,
0.40557889,35042.0161,0,0.001317,0.654083,0.15516631
0.40559046,35043.01574,0.999648,0.001317,0.654083,0.15516631
0.40560202,35044.01453,1.998432,0.001317,0.654083,0.15516631
0.40561361,35045.0159,2.999808,0.001317,0.654083,0.15516631
0.40562518,35046.01555,3.999456,0.001317,0.654083,0.15516631
0.40563675,35047.0152,4.999104,0.001317,0.654083,0.14388295
0.40564832,35048.01485,5.998752,0.001317,0.654083,0.14388295
0.40565992,35049.01709,7.000992,0.001317,0.654083,0.14388295
0.40567148,35050.01587,7.999776,0.001317,0.654083,0.14388295
0.40568305,35051.01552,8.999424,0.001317,0.654083,0.14388295
0.40569462,35052.01517,9.999072,0.001317,0.654083,0.13678499
0.40570621,35053.01654,11.000448,0.001317,0.654083,0.13678499
0.40571778,35054.01619,12.000096,0.001317,0.654083,0.13678499
0.40572935,35055.01584,12.999744,0.001317,0.654083,0.13678499
0.40574092,35056.01549,13.999392,0.001317,0.654083,0.13678499
0.40575249,35057.01514,14.99904,0.001317,0.654083,0.13006428
0.40576406,35058.01478,15.998688,0.001317,0.654083,0.13006428
0.40577565,35059.01616,17.000064,0.001317,0.654083,0.13006428
0.40578722,35060.01581,17.999712,0.001317,0.654083,0.13006428
0.40579879,35061.01546,18.99936,0.001317,0.654083,0.13006428
0.40581036,35062.0151,19.999008,0.001317,0.654083,0.13006428
0.40582195,35063.01648,21.000384,0.001317,0.654083,0.12092846
0.40583351,35064.01526,21.999168,0.001317,0.654083,0.12092846
0.40584508,35065.01491,22.998816,0.001317,0.654083,0.12092846
0.40585667,35066.01629,24.000192,0.001317,0.654083,0.12092846
0.40586824,35067.01594,24.99984,0.001317,0.654083,0.12092846
0.40587981,35068.01558,25.999488,0.001317,0.654083,0.11156493
0.4058914,35069.01696,27.000864,0.001317,0.654083,0.11156493
0.40590296,35070.01574,27.999648,0.001317,0.654083,0.11156493
0.40591453,35071.01539,28.999296,0.001317,0.654083,0.11156493
0.4059261,35072.01504,29.998944,0.001317,0.654083,0.11156493
0.40593769,35073.01642,31.00032,0.001317,0.654083,0.10379081
0.40594926,35074.01606,31.999968,0.001317,0.654083,0.10379081
0.40596083,35075.01571,32.999616,0.001317,0.654083,0.10379081
0.40597242,35076.01709,34.000992,0.001317,0.654083,0.10379081
0.40598398,35077.01587,34.999776,0.001317,0.654083,0.10379081
0.40599555,35078.01552,35.999424,0.001317,0.654083,0.09380288
0.40600712,35079.01517,36.999072,0.001317,0.654083,0.09380288
0.40601872,35080.01741,38.001312,0.001317,0.654083,0.09380288
0.40603027,35081.01533,38.999232,0.001317,0.654083,0.09380288
0.40604186,35082.0167,40.000608,0.001317,0.654083,0.09380288
0.40605343,35083.01635,41.000256,0.001317,0.654083,0.0904732
0.406065,35084.016,41.999904,0.001317,0.654083,0.0904732
0.40607656,35085.01478,42.998688,0.001317,0.654083,0.0904732
0.40608816,35086.01702,44.000928,0.001317,0.654083,0.0904732
0.40609972,35087.01581,44.999712,0.001317,0.654083,0.0904732
0.40611129,35088.01546,45.99936,0.001317,0.654083,0.08868252
0.40612286,35089.0151,46.999008,0.001317,0.654083,0.08868252
0.40613443,35090.01475,47.998656,0.001317,0.654083,0.08868252
0.40614602,35091.01613,49.000032,0.001317,0.654083,0.08868252
0.40615759,35092.01578,49.99968,0.001317,0.654083,0.08868252
0.40616916,35093.01542,50.999328,0.001317,0.654083,0.08453179
0.40618074,35094.01594,51.99984,0.001317,0.654083,0.08453179
0.40619231,35095.01558,52.999488,0.001317,0.654083,0.08453179
0.40620388,35096.01523,53.999136,0.001317,0.654083,0.08453179
0.40621547,35097.01661,55.000512,0.001317,0.654083,0.08453179
0.40622704,35098.01626,56.00016,0.001317,0.654083,0.08190126
0.40623861,35099.0159,56.999808,0.001317,0.654083,0.08190126
0.40625018,35100.01555,57.999456,0.001317,0.654083,0.08190126
0.40626175,35101.0152,58.999104,0.001317,0.654083,0.08190126
0.40627332,35102.01485,59.998752,0.001317,0.654083,0.08190126
0.40628491,35103.01622,61.000128,0.001317,0.654083,0.0810305
0.40629648,35104.01587,61.999776,0.001317,0.654083,0.0810305
0.40630806,35105.01638,63.000288,0.001317,0.654083,0.0810305
0.40631963,35106.01603,63.999936,0.001317,0.654083,0.0810305
0.4063312,35107.01568,64.999584,0.001317,0.654083,0.0810305
0.40634277,35108.01533,65.999232,0.001317,0.654083,0.0789201
0.40635436,35109.0167,67.000608,0.001317,0.654083,0.0789201
0.40636593,35110.01635,68.000256,0.001317,0.654083,0.0789201
0.4063775,35111.016,68.999904,0.001317,0.654083,0.0789201
0.40638907,35112.01565,69.999552,0.001317,0.654083,0.0789201
0.40640066,35113.01702,71.000928,0.001317,0.654083,0.07737012
0.40641222,35114.01581,71.999712,0.001317,0.654083,0.07737012
0.40642379,35115.01546,72.99936,0.001317,0.654083,0.07737012
0.40643536,35116.0151,73.999008,0.001317,0.654083,0.07737012
0.40644693,35117.01475,74.998656,0.001317,0.654083,0.07737012
0.40645852,35118.01613,76.000032,0.001317,0.654083,0.07489706
0.40647009,35119.01578,76.99968,0.001317,0.654083,0.07489706
0.40648166,35120.01542,77.999328,0.001317,0.654083,0.07489706
0.40649323,35121.01507,78.998976,0.001317,0.654083,0.07489706
0.4065048,35122.01472,79.998624,0.001317,0.654083,0.07489706
0.40651639,35123.0161,81,0.001317,0.654083,0.07449616
0.40652796,35124.01574,81.999648,0.001317,0.654083,0.07449616
0.40653954,35125.01626,83.00016,0.001317,0.654083,0.07449616
0.40655112,35126.01677,84.000672,0.001317,0.654083,0.07449616
0.40656269,35127.01642,85.00032,0.001317,0.654083,0.07449616
0.40657426,35128.01606,85.999968,0.001317,0.654083,0.07362731
0.40658582,35129.01485,86.998752,0.001317,0.654083,0.07362731
0.4065974,35130.01536,87.999264,0.001317,0.654083,0.07362731
0.40660899,35131.01674,89.00064,0.001317,0.654083,0.07362731
0.40662055,35132.01552,89.999424,0.001317,0.654083,0.07362731
0.40663212,35133.01517,90.999072,0.001317,0.654083,0.07189874
0.40664369,35134.01482,91.99872,0.001317,0.654083,0.07189874
0.40665528,35135.01619,93.000096,0.001317,0.654083,0.07189874
0.40666685,35136.01584,93.999744,0.001317,0.654083,0.07189874
0.40667842,35137.01549,94.999392,0.001317,0.654083,0.07189874
0.40669,35138.016,95.999904,0.001317,0.654083,0.07047904
0.40670159,35139.01738,97.00128,0.001317,0.654083,0.07047904
0.40671314,35140.0153,97.9992,0.001317,0.654083,0.07047904
0.40672471,35141.01494,98.998848,0.001317,0.654083,0.07047904
0.40673629,35142.01546,99.99936,0.001317,0.654083,0.07047904
0.40674788,35143.01683,101.000736,0.001317,0.654083,0.07099188
0.40675944,35144.01562,101.99952,0.001317,0.654083,0.07099188
0.40677104,35145.01786,103.00176,0.001317,0.654083,0.07099188
0.40678258,35146.01491,103.998816,0.001317,0.654083,0.07099188
0.40679417,35147.01629,105.000192,0.001317,0.654083,0.07099188
0.40680574,35148.01594,105.99984,0.001317,0.654083,0.06919124
