Day fraction since midnight on 10/6/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.43412937	0.00000000	0.00000000	0.00000000	-999.00000000
0.43414237	0.00000000	0.00000000	0.00000000	-999.00000000
0.43415251	0.00000000	0.00000000	0.00000000	-999.00000000
0.43416410	0.00000000	0.00000000	0.00000000	-999.00000000
0.43417567	0.00000000	0.00000000	0.00000000	-999.00000000
0.43418725	0.00000000	0.00000000	0.00000000	-999.00000000
0.43419882	0.00000000	0.00000000	0.00000000	-999.00000000
0.43421038	0.00000000	0.00000000	0.00000000	-999.00000000
0.43422197	0.00000000	0.00000000	0.00000000	-999.00000000
0.43423354	0.00000000	0.00000000	0.00000000	-999.00000000
0.43424511	0.00000000	0.00000000	0.00000000	-999.00000000
0.43425670	0.00000000	0.00000000	0.00000000	-999.00000000
0.43426827	0.00000000	0.00000000	0.00000000	-999.00000000
0.43427983	0.00000000	0.00000000	0.00000000	-999.00000000
0.43429142	0.00000000	0.00000000	0.00000000	-999.00000000
0.43430299	0.00000000	0.00000000	0.00000000	-999.00000000
0.43431456	0.00000000	0.00000000	0.00000000	-999.00000000
0.43432615	0.00000000	0.00000000	0.00000000	-999.00000000
0.43433771	0.00000000	0.00000000	0.00000000	-999.00000000
0.43434928	0.00000000	0.00000000	0.00000000	-999.00000000
0.43436085	0.00000000	0.00000000	0.00000000	-999.00000000
0.43437242	0.00000000	0.00000000	0.00000000	-999.00000000
0.43438402	0.00000000	0.00000000	0.00000000	-999.00000000
0.43439558	0.00000000	0.00000000	0.00000000	-999.00000000
0.43440716	0.00000000	0.00000000	0.00000000	-999.00000000
0.43441872	0.00000000	0.00000000	0.00000000	-999.00000000
0.43443030	0.00000000	0.00000000	0.00000000	-999.00000000
0.43444187	0.00000000	0.00000000	0.00000000	-999.00000000
0.43445346	0.00000000	0.00000000	0.00000000	-999.00000000
0.43446503	0.00000000	0.00000000	0.00000000	-999.00000000
0.43447660	0.00000000	0.00000000	0.00000000	-999.00000000
0.43448816	0.00000000	0.00000000	0.00000000	-999.00000000
0.43449974	0.00000000	0.00000000	0.00000000	-999.00000000
0.43451133	0.00000000	0.00000000	0.00000000	-999.00000000
0.43452291	0.00000000	0.00000000	0.00000000	-999.00000000
0.43453447	0.00000000	0.00000000	0.00000000	-999.00000000
0.43454605	0.00000000	0.00000000	0.00000000	-999.00000000
0.43455762	0.00000000	0.00000000	0.00000000	-999.00000000
0.43456919	0.00000000	0.00000000	0.00000000	-999.00000000
0.43458078	0.00000000	0.00000000	0.00000000	-999.00000000
0.43459235	0.00000000	0.00000000	0.00000000	-999.00000000
0.43460394	0.00000000	0.00000000	0.00000000	-999.00000000
0.43461548	0.00000000	0.00000000	0.00000000	-999.00000000
0.43462707	0.00000000	0.00000000	0.00000000	-999.00000000
0.43463864	0.00000000	0.00000000	0.00000000	-999.00000000
0.43465021	0.00000000	0.00000000	0.00000000	-999.00000000
0.43466177	0.00000000	0.00000000	0.00000000	-999.00000000
0.43467337	0.00000000	0.00000000	0.00000000	-999.00000000
0.43468493	0.00000000	0.00000000	0.00000000	-999.00000000
0.43469650	0.00000000	0.00000000	0.00000000	-999.00000000
0.43470807	0.00000000	0.00000000	0.00000000	-999.00000000
0.43471966	0.00000000	0.00000000	0.00000000	-999.00000000
0.43473123	0.00000000	0.00000000	0.00000000	-999.00000000
0.43474280	0.00000000	0.00000000	0.00000000	-999.00000000
0.43475437	0.00000000	0.00000000	0.00000000	-999.00000000
0.43476594	0.00000000	0.00000000	0.00000000	-999.00000000
0.43477753	0.00000000	0.00000000	0.00000000	-999.00000000
0.43478910	0.00000000	0.00000000	0.00000000	-999.00000000
0.43480067	0.00000000	0.00000000	0.00000000	-999.00000000
0.43481224	0.00000000	0.00000000	0.00000000	-999.00000000
0.43482383	0.00000000	0.00000000	0.00000000	-999.00000000
0.43483540	0.00000000	0.00000000	0.00000000	-999.00000000
0.43484696	0.00000000	0.00000000	0.00000000	-999.00000000
0.43485855	0.00000000	0.00000000	0.00000000	-999.00000000
0.43487012	0.00000000	0.00000000	0.00000000	-999.00000000
0.43488169	0.00000000	0.00000000	0.00000000	-999.00000000
0.43489326	0.00000000	0.00000000	0.00000000	-999.00000000
0.43490485	0.00000000	0.00000000	0.00000000	-999.00000000
0.43491642	0.00000000	0.00000000	0.00000000	-999.00000000
0.43492798	0.00000000	0.00000000	0.00000000	-999.00000000
0.43493955	0.00000000	0.00000000	0.00000000	-999.00000000
0.43495114	0.00000000	0.00000000	0.00000000	-999.00000000
0.43496271	0.00000000	0.00000000	0.00000000	-999.00000000
0.43497428	0.00000000	0.00000000	0.00000000	-999.00000000
0.43498585	0.00000000	0.00000000	0.00000000	-999.00000000
0.43499744	0.00000000	0.00000000	0.00000000	-999.00000000
