Day fraction since midnight on 11/10/2019	Fluoride Probe (volts)	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.39576137	0.07917367	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39577678	0.07917047	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39578451	0.07918327	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39579607	0.07917432	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39580764	0.07917765	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39581923	0.07919875	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39583080	0.07914866	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39584237	0.07918122	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39585393	0.07919545	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39586552	0.07919344	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39587709	0.07919760	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39588866	0.07917470	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39590025	0.07919803	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39591181	0.07919738	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39592338	0.07920132	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39593497	0.07915957	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39594654	0.07918395	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39595810	0.07917592	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39596969	0.07920369	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
