PACl Flow Rate	Turbidity	Fluoride Voltage	Fluoride Conc
0.0019753	0.05104105	0.10313085	2.509219977
0.0019753	0.05104105	0.1031989	2.500953109
0.0019753	0.05104105	0.10185149	2.669826746
0.0019753	0.05104105	0.10264728	2.568757497
0.0019753	0.05104105	0.10236881	2.6036818
0.0019753	0.04996806	0.10183433	2.672049399
0.0019753	0.04996806	0.1030613	2.517697305
0.0019753	0.04996806	0.10225624	2.617934168
0.0019753	0.04996806	0.10333205	2.484856446
0.0019753	0.04996806	0.10176034	2.681654179
0.0019753	0.04761077	0.1024063	2.598952475
0.0019753	0.04761077	0.10188144	2.665951895
0.0019753	0.04761077	0.10327033	2.492304929
0.0019753	0.04761077	0.10168336	2.691683743
0.0019753	0.04761077	0.1033625	2.481189888
0.0019753	0.05645229	0.10223021	2.621240889
0.0019753	0.05645229	0.10307665	2.515823861
0.0019753	0.05645229	0.10202817	2.647049469
0.0019753	0.05645229	0.10326441	2.493020538
0.0019753	0.05645229	0.10269102	2.563314578
0.0019753	0.05556948	0.10261007	2.573396933
0.0019753	0.05556948	0.10261003	2.573401925
0.0019753	0.05556948	0.10248995	2.588431058
0.0019753	0.05556948	0.10227475	2.615585289
0.0019753	0.05556948	0.10285653	2.542823022
0.0019753	0.05338249	0.10240598	2.598992806
0.0019753	0.05338249	0.10304233	2.520014492
0.0019753	0.05338249	0.10232548	2.609158557
0.0019753	0.05338249	0.10373193	2.43713458
0.0019753	0.05338249	0.10292137	2.534840005
0.0019753	0.05026534	0.10325154	2.494576971
0.0019753	0.05026534	0.10432608	2.367915708
0.0019753	0.05026534	0.10245021	2.593424196
0.0019753	0.05026534	0.10370108	2.44078338
0.0019753	0.05026534	0.10296955	2.52892438
0.0019753	0.04807867	0.10304143	2.52012448
0.0019753	0.04807867	0.10319025	2.502002418
0.0019753	0.04807867	0.10259153	2.575711674
0.0019753	0.04807867	0.10418806	2.383817753
0.0019753	0.04807867	0.10334322	2.48351081
0.0019753	0.04852845	0.10378677	2.430661811
0.0019753	0.04852845	0.10435487	2.364612048
0.0019753	0.04852845	0.10346289	2.469139965
0.0019753	0.04852845	0.10450322	2.347661774
0.0019753	0.04852845	0.1034947	2.465333999
0.0019753	0.04515868	0.10483034	2.310713599
0.0019753	0.04515868	0.10361414	2.451095673
0.0019753	0.04515868	0.10445271	2.353419294
0.0019753	0.04515868	0.10421709	2.380464202
0.0019753	0.04515868	0.10404637	2.400253736
0.0019753	0.04290581	0.10473019	2.321963343
0.0019753	0.04290581	0.10398058	2.407923828
0.0019753	0.04290581	0.1047774	2.316653486
0.0019753	0.04290581	0.10430863	2.369920346
0.0019753	0.04290581	0.10463935	2.332214666
0.0019753	0.04368863	0.1045974	2.336964002
0.0019753	0.04368863	0.10370412	2.44042358
0.0019753	0.04368863	0.10479604	2.314560332
0.0019753	0.04368863	0.10434265	2.366013733
0.0019753	0.04368863	0.10374598	2.435474617
0.0019753	0.04282452	0.10490311	2.302573626
0.0019753	0.04282452	0.10318848	2.502217186
0.0019753	0.04282452	0.10465481	2.33046681
0.0019753	0.04282452	0.10394166	2.412472828
0.0019753	0.04282452	0.10482676	2.311114796
0.0019753	0.04215655	0.10457934	2.339011627
0.0019753	0.04215655	0.10401927	2.403410211
0.0019753	0.04215655	0.1052001	2.269648898
0.0019753	0.04215655	0.10496859	2.295273618
0.0019753	0.04215655	0.10489483	2.303498371
0.0019753	0.04186723	0.10530736	2.257873977
0.0019753	0.04186723	0.1045712	2.339935119
0.0019753	0.04186723	0.10445902	2.35269926
0.0019753	0.04186723	0.10583316	2.20102984
0.0019753	0.04186723	0.10445397	2.353275498
0.0019753	0.04186723	0.10540143	2.247597337
0.0019753	0.04111231	0.10512564	2.277859151
0.0019753	0.04111231	0.10483458	2.310238529
0.0019753	0.04111231	0.10530701	2.257912301
0.0019753	0.04111231	0.10492068	2.300612567
0.0019753	0.04111231	0.10510422	2.280226501
0.0019753	0.0407531	0.10622708	2.159382914
0.0019753	0.0407531	0.10530474	2.25816087
0.0019753	0.0407531	0.10548635	2.238360462
0.0019753	0.0407531	0.10593496	2.190190754
0.0019753	0.0407531	0.10520738	2.268847766
0.0019753	0.03984624	0.10472706	2.322315814
0.0019753	0.03984624	0.10542439	2.245096191
0.0019753	0.03984624	0.10522906	2.266463653
0.0019753	0.03984624	0.10483813	2.309840845
0.0019753	0.03984624	0.10473251	2.321702121
0.0019753	0.0421797	0.10664566	2.11599205
0.0019753	0.0421797	0.10479324	2.314874633
0.0019753	0.0421797	0.10523455	2.265860325
0.0019753	0.0421797	0.10652791	2.128109355
0.0019753	0.0421797	0.10532852	2.255558273
0.0019753	0.07804161	0.10559508	2.226589134
0.0019753	0.07804161	0.10598896	2.184462824
0.0019753	0.07804161	0.10540154	2.247585348
0.0019753	0.07804161	0.10529833	2.258862924
0.0019753	0.07804161	0.10568174	2.217251496
0.0019753	0.06253771	0.10516109	2.273946597
0.0019753	0.06253771	0.10544553	2.242795767
0.0019753	0.06253771	0.10656558	2.124225317
0.0019753	0.06253771	0.10517466	2.272450679
0.0019753	0.06253771	0.10620083	2.162133505
0.0019753	0.05341204	0.10608411	2.174406427
0.0019753	0.05341204	0.10506122	2.284986314
0.0019753	0.05341204	0.10646897	2.13420073
0.0019753	0.05341204	0.10666372	2.114139662
0.0019753	0.05341204	0.10535828	2.252305422
0.0019753	0.04805861	0.1060512	2.177879435
0.0019753	0.04805861	0.1061412	2.168394825
0.0019753	0.04805861	0.10606009	2.176940722
0.0019753	0.04805861	0.10617758	2.164572668
0.0019753	0.04805861	0.10607208	2.175675316
0.0019753	0.04354169	0.10558331	2.227860384
0.0019753	0.04354169	0.10644646	2.136531709
0.0019753	0.04354169	0.10555271	2.231168816
0.0019753	0.04354169	0.10511621	2.278901057
0.0019753	0.04354169	0.10634127	2.147458245
0.0019753	0.0420254	0.10545338	2.241942142
0.0019753	0.0420254	0.10531983	2.256509
0.0019753	0.0420254	0.10600512	2.182751602
0.0019753	0.0420254	0.10543381	2.244070829
0.0019753	0.0420254	0.10544623	2.242719634
0.0019753	0.04182409	0.10606537	2.176383388
0.0019753	0.04182409	0.10524014	2.265246172
0.0019753	0.04182409	0.10551506	2.235246227
0.0019753	0.04182409	0.10587384	2.196692044
0.0019753	0.04182409	0.10516414	2.273610288
0.0019753	0.04269619	0.10496777	2.295364892
0.0019753	0.04269619	0.1054975	2.237150483
0.0019753	0.04269619	0.10445786	2.352831611
0.0019753	0.04269619	0.10629756	2.152015008
0.0019753	0.04269619	0.1049469	2.297689151
0.0019753	0.04075166	0.10442771	2.356274208
0.0019753	0.04075166	0.10629888	2.151877256
0.0019753	0.04075166	0.10576417	2.208405982
0.0019753	0.04075166	0.10535573	2.252583961
0.0019753	0.04075166	0.10645666	2.135475153
0.0019753	0.04057642	0.10590782	2.193075238
0.0019753	0.04057642	0.10531944	2.256551677
0.0019753	0.04057642	0.10633019	2.14861242
0.0019753	0.04057642	0.10548027	2.239020529
0.0019753	0.04057642	0.10488882	2.304169824
0.0019753	0.04322368	0.10619257	2.162999748
0.0019753	0.04322368	0.10537126	2.250888142
0.0019753	0.04322368	0.1060597	2.176981895
0.0019753	0.04322368	0.10591303	2.192521216
0.0019753	0.04322368	0.10572314	2.212804467
0.0019753	0.04266883	0.10569483	2.215844453
0.0019753	0.04266883	0.10706221	2.073677217
0.0019753	0.04266883	0.10616896	2.165477693
0.0019753	0.04266883	0.10559624	2.226463884
0.0019753	0.04266883	0.10672767	2.107593428
0.0019753	0.04386808	0.10657966	2.122775392
0.0019753	0.04386808	0.10633384	2.14823214
0.0019753	0.04386808	0.1059356	2.190122779
0.0019753	0.04386808	0.10592386	2.191370021
0.0019753	0.04386808	0.10609454	2.173306901
0.0019753	0.04131646	0.10630056	2.151701949
0.0019753	0.04131646	0.10640825	2.140494301
0.0019753	0.04131646	0.10518195	2.271647457
0.0019753	0.04131646	0.105504	2.236445415
0.0019753	0.04131646	0.10691208	2.088829604
0.0019753	0.03999518	0.10617891	2.164433063
0.0019753	0.03999518	0.10607264	2.175616232
0.0019753	0.03999518	0.10618866	2.163409919
0.0019753	0.03999518	0.10651805	2.129127161
0.0019753	0.03999518	0.10612185	2.170430524
0.0019753	0.04002328	0.10627207	2.1546768
0.0019753	0.04002328	0.10693897	2.086107522
0.0019753	0.04002328	0.10722204	2.057666603
0.0019753	0.04002328	0.10657575	2.123177935
0.0019753	0.04002328	0.10697358	2.082609162
0.0019753	0.0422008	0.10716033	2.063833562
0.0019753	0.0422008	0.10648265	2.132785367
0.0019753	0.0422008	0.10697109	2.082860654
0.0019753	0.0422008	0.10750212	2.029907744
0.0019753	0.0422008	0.10675546	2.10475503
0.0019753	0.03991757	0.10676301	2.103984553
0.0019753	0.03991757	0.10711643	2.068231935
