Day fraction since midnight on 11/11/2019	Time (seconds)	Time Elapsed (seconds)	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Effluent Fluoride Concentration (mg/L)	Flocculated Fluoride (mg/L)
Start expt!												
0.65675941	56744.01302	0	0.10516895	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02477756	0.50307692	0.43993172	4.56006828
0.65677101	56745.01526	1.00224	0.1052062	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02410631	0.50307692	0.440727136	4.559272864
0.65678258	56746.01491	2.001888	0.10543813	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02410631	0.50307692	0.445712098	4.554287902
0.65679417	56747.01629	3.003264	0.10543537	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02410631	0.50307692	0.445652446	4.554347554
0.65680571	56748.01334	4.00032	0.10560457	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02410631	0.50307692	0.449324171	4.550675829
0.65681731	56749.01558	5.00256	0.10585652	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02410631	0.50307692	0.454847749	4.545152251
0.65682887	56750.01437	6.001344	0.10518673	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02337444	0.50307692	0.440311205	4.559688795
0.65684044	56751.01402	7.000992	0.10543855	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02337444	0.50307692	0.445721176	4.554278824
0.65685201	56752.01366	8.00064	0.10450632	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02337444	0.50307692	0.426019776	4.573980224
0.6568636	56753.01504	9.002016	0.10417172	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02337444	0.50307692	0.419162881	4.580837119
0.65687517	56754.01469	10.001664	0.10552286	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02337444	0.50307692	0.447547261	4.552452739
0.65688675	56755.0152	11.002176	0.10607772	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02200297	0.50307692	0.459753134	4.540246866
0.65689831	56756.01398	12.00096	0.10583216	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02200297	0.50307692	0.454310745	4.545689255
0.65690988	56757.01363	13.000608	0.10514621	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02200297	0.50307692	0.439446848	4.560553152
0.65692148	56758.01587	14.002848	0.10529748	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02200297	0.50307692	0.442682365	4.557317635
0.65693305	56759.01552	15.002496	0.10382646	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02200297	0.50307692	0.412203206	4.587796794
0.65694462	56760.01517	16.002144	0.10576437	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02137659	0.50307692	0.452819684	4.547180316
0.65695619	56761.01482	17.001792	0.10464048	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02137659	0.50307692	0.428800494	4.571199506
0.65696776	56762.01446	18.00144	0.1058038	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02137659	0.50307692	0.453686362	4.546313638
0.65697933	56763.01411	19.001088	0.10525633	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02137659	0.50307692	0.441799855	4.558200145
0.6569909	56764.01376	20.000736	0.1045434	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02137659	0.50307692	0.42678652	4.57321348
0.65700249	56765.01514	21.002112	0.10470963	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02214135	0.50307692	0.430240838	4.569759162
0.65701406	56766.01478	22.00176	0.10567896	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02214135	0.50307692	0.45094803	4.54905197
0.65702563	56767.01443	23.001408	0.10465264	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02214135	0.50307692	0.429053428	4.570946572
0.6570372	56768.01408	24.001056	0.1052489	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02214135	0.50307692	0.441640698	4.558359302
0.65704878	56769.01459	25.001568	0.10430149	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02214135	0.50307692	0.421809034	4.578190966
0.65706035	56770.01424	26.001216	0.10458639	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02194054	0.50307692	0.4276772	4.5723228
0.65707192	56771.01389	27.000864	0.10440215	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02194054	0.50307692	0.4238731	4.5761269
0.65708349	56772.01354	28.000512	0.10579309	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02194054	0.50307692	0.453450791	4.546549209
0.65709508	56773.01491	29.001888	0.10435881	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02194054	0.50307692	0.422983164	4.577016836
0.65710665	56774.01456	30.001536	0.10402291	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02194054	0.50307692	0.416148908	4.583851092
0.65711822	56775.01421	31.001184	0.10487771	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02245914	0.50307692	0.433762027	4.566237973
0.65712978	56776.01299	31.999968	0.10534155	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02245914	0.50307692	0.443629452	4.556370548
0.65714138	56777.01523	33.002208	0.10450093	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02245914	0.50307692	0.425908436	4.574091564
0.65715295	56778.01488	34.001856	0.10502453	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02245914	0.50307692	0.436861403	4.563138597
0.65716451	56779.01366	35.00064	0.10555118	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02245914	0.50307692	0.448162326	4.551837674
0.65717608	56780.01331	36.000288	0.10441338	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02053811	0.50307692	0.424104001	4.575895999
0.65718767	56781.01469	37.001664	0.10465369	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02053811	0.50307692	0.429075275	4.570924725
0.65719924	56782.01434	38.001312	0.10493192	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02053811	0.50307692	0.434903833	4.565096167
0.65721081	56783.01398	39.00096	0.10379602	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02053811	0.50307692	0.411595175	4.588404825
0.65722238	56784.01363	40.000608	0.1062209	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02053811	0.50307692	0.462956497	4.537043503
0.65723395	56785.01328	41.000256	0.10496191	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02030053	0.50307692	0.435536793	4.564463207
0.65724554	56786.01466	42.001632	0.10590884	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02030053	0.50307692	0.456003263	4.543996737
0.65725711	56787.0143	43.00128	0.10592364	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02030053	0.50307692	0.456330661	4.543669339
0.65726868	56788.01395	44.000928	0.10552491	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02030053	0.50307692	0.447591756	4.552408244
0.65728025	56789.0136	45.000576	0.10712314	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02030053	0.50307692	0.483662123	4.516337877
0.65729182	56790.01325	46.000224	0.10648407	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02065769	0.50307692	0.468902722	4.531097278
0.65730342	56791.01549	47.002464	0.10648631	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02065769	0.50307692	0.46895366	4.53104634
0.65731499	56792.01514	48.002112	0.10588758	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02065769	0.50307692	0.455533372	4.544466628
0.65732656	56793.01478	49.00176	0.10633671	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02065769	0.50307692	0.465563832	4.534436168
0.65733812	56794.01357	50.000544	0.10581	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02065769	0.50307692	0.45382279	4.54617721
0.65734969	56795.01322	51.000192	0.105686	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02003768	0.50307692	0.45110201	4.54889799
0.65736128	56796.01459	52.001568	0.10652249	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02003768	0.50307692	0.469777173	4.530222827
0.65737285	56797.01424	53.001216	0.10490017	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02003768	0.50307692	0.43423473	4.56576527
0.65738443	56798.01475	54.001728	0.10669499	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02003768	0.50307692	0.473723465	4.526276535
0.65739599	56799.01354	55.000512	0.10579146	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02003768	0.50307692	0.453414949	4.546585051
0.65740756	56800.01318	56.00016	0.1058428	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01950906	0.50307692	0.454545221	4.545454779
0.65741915	56801.01456	57.001536	0.10593635	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01950906	0.50307692	0.456612013	4.543387987
0.65743073	56802.01507	58.002048	0.10554136	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01950906	0.50307692	0.447948956	4.552051044
0.6574423	56803.01472	59.001696	0.105135	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01950906	0.50307692	0.439208021	4.560791979
0.65745387	56804.01437	60.001344	0.10513049	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01950906	0.50307692	0.439111972	4.560888028
0.65746544	56805.01402	61.000992	0.10608466	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01985052	0.50307692	0.45990789	4.54009211
0.65747701	56806.01366	62.00064	0.10455102	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01985052	0.50307692	0.426944258	4.573055742
0.6574886	56807.01504	63.002016	0.10603738	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01985052	0.50307692	0.458854617	4.541145383
0.65750017	56808.01469	64.001664	0.10678833	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01985052	0.50307692	0.475872614	4.524127386
0.65751174	56809.01434	65.001312	0.10611358	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01985052	0.50307692	0.460553343	4.539446657
0.65752331	56810.01398	66.00096	0.10584276	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01975813	0.50307692	0.454544339	4.545455661
0.6575349	56811.01536	67.002336	0.10594002	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01975813	0.50307692	0.456693286	4.543306714
0.65754647	56812.01501	68.001984	0.10494649	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01975813	0.50307692	0.435211228	4.564788772
0.65755804	56813.01466	69.001632	0.10642132	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01975813	0.50307692	0.467478012	4.532521988
0.65756961	56814.0143	70.00128	0.10591936	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01975813	0.50307692	0.456235957	4.543764043
0.65758118	56815.01395	71.000928	0.10531047	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02220061	0.50307692	0.442961316	4.557038684
0.65759277	56816.01533	72.002304	0.10571884	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02220061	0.50307692	0.451820986	4.548179014
