Day fraction since midnight on 11/13/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.55356518	0.03026065	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55357381	0.02589528	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55358538	0.10021713	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55359697	0.06334816	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55360854	0.06336114	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55362013	0.08534195	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55363167	0.09067605	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55364326	0.09019089	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55365483	0.09034304	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55366640	0.09582922	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55367799	0.08978264	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55368956	0.08239717	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55370113	0.08111610	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55371270	0.08098583	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55372427	0.08332174	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55373586	0.08011208	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55374742	0.09165912	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55375899	0.09165147	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55377057	0.09285455	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55378214	0.09010346	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55379371	0.09198444	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55380530	0.09051703	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55381686	0.09232726	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55382844	0.09391983	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55384003	0.09061070	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55385159	0.07236473	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55386317	0.08174825	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55387474	0.08116707	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55388632	0.08255210	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55389788	0.08169084	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55390945	0.08165751	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
