Day fraction since midnight on 11/2/2019,Seconds,Time Elapsed (seconds),Fluoride Probe (volts),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
started expt 1,,,,,,,,,
0.48864034,42218.52538,0,0.40291753,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09353098
0.48865193,42219.52675,1.001376,0.29973707,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09353098
0.48866349,42220.52554,2.00016,0.27161747,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09284876
0.48867507,42221.52605,3.000672,0.20612592,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09284876
0.48868664,42222.5257,4.00032,0.21242058,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09284876
0.48869821,42223.52534,4.999968,0.22432137,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09284876
0.4887098,42224.52672,6.001344,0.23614979,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09284876
0.48872136,42225.5255,7.000128,0.2352155,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.0907565
0.48873293,42226.52515,7.999776,0.24137793,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.0907565
0.4887445,42227.5248,8.999424,0.26023534,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.0907565
0.48875607,42228.52445,9.999072,0.25305042,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.0907565
0.48876767,42229.52669,11.001312,0.21186426,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.0907565
0.48877923,42230.52547,12.000096,0.19995093,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09046593
0.4887908,42231.52512,12.999744,0.20117567,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09046593
0.48880237,42232.52477,13.999392,0.26964194,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09046593
0.48881396,42233.52614,15.000768,0.29622546,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09046593
0.48882553,42234.52579,16.000416,0.2918908,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09046593
0.48883709,42235.52458,16.9992,0.29469776,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09029608
0.48884868,42236.52595,18.000576,0.29565087,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09029608
0.48886025,42237.5256,19.000224,0.29184279,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09029608
0.48887182,42238.52525,19.999872,0.29426166,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09029608
0.48888339,42239.5249,20.99952,0.29556987,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.09029608
0.48889498,42240.52627,22.000896,0.29207206,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.1227204
0.48890654,42241.52506,22.99968,0.30092132,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.1227204
0.48891811,42242.5247,23.999328,0.2965925,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.1227204
