Day fraction since midnight on 11/2/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.39974277	0.42029834	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.39975431	0.38621697	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02757989
0.39976589	0.30345735	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02757989
0.39977747	0.37923330	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02757989
0.39978904	0.44273072	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02757989
0.39980061	0.43953457	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02757989
0.39981220	0.43615058	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.00967689
0.39982378	0.43552732	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.00967689
0.39983533	0.43621281	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.00967689
0.39984692	0.43700862	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.00967689
0.39985849	0.43410924	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.00967689
0.39987006	0.43499297	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01800247
0.39988163	0.43526664	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01800247
0.39989320	0.43529460	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01800247
0.39990477	0.43405628	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01800247
0.39991636	0.43419018	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01800247
0.39992795	0.43405217	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09376494
0.39993951	0.43278110	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09376494
0.39995107	0.43149596	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09376494
0.39996267	0.43059450	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09376494
0.39997424	0.43300521	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09376494
0.39998581	0.43180770	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09276937
0.39999738	0.42949906	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09276937
0.40000895	0.43149003	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09276937
0.40002052	0.43131870	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09276937
0.40003211	0.43029264	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.09276937
0.40004366	0.43086791	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05670285
0.40005525	0.43165842	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05670285
0.40006682	0.42909560	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05670285
0.40007839	0.42940113	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05670285
0.40008997	0.42777291	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05670285
0.40010154	0.42772731	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03057561
0.40011313	0.42671394	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03057561
