Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	0.14919893	0.11202143	2.603324358
0.0026336	0.14919893	0.11126879	2.705854961
0.0026336	0.14919893	0.11000124	2.887739492
0.0026336	0.14919893	0.10991783	2.900128282
0.0026336	0.14919893	0.10933998	2.987427661
0.0026336	0.14798875	0.11027731	2.847111356
0.0026336	0.14798875	0.11063962	2.794657679
0.0026336	0.14798875	0.1102243	2.854868038
0.0026336	0.14798875	0.1103317	2.83917465
0.0026336	0.14798875	0.11054187	2.80871356
0.0026336	0.14798875	0.11057742	2.803593516
0.0026336	0.14514163	0.11049163	2.815965262
0.0026336	0.14514163	0.11003947	2.882078935
0.0026336	0.14514163	0.11046631	2.819627074
0.0026336	0.14514163	0.11024764	2.851450215
0.0026336	0.14514163	0.11075929	2.777545564
0.0026336	0.14505464	0.11112607	2.72574812
0.0026336	0.14505464	0.11078323	2.774134881
0.0026336	0.14505464	0.1106657	2.790919429
0.0026336	0.14505464	0.1105313	2.810237694
0.0026336	0.14505464	0.11126506	2.706373018
0.0026336	0.14600182	0.11116971	2.719649845
0.0026336	0.14600182	0.11055323	2.807076435
0.0026336	0.14600182	0.11060259	2.799974083
0.0026336	0.14600182	0.11129896	2.701668313
0.0026336	0.14600182	0.11180917	2.631840254
0.0026336	0.1444519	0.11118708	2.71722635
0.0026336	0.1444519	0.11152387	2.670661337
0.0026336	0.1444519	0.11148102	2.676541239
0.0026336	0.1444519	0.11043943	2.823519706
0.0026336	0.1444519	0.11189365	2.620453628
0.0026336	0.17116453	0.11146799	2.678331789
0.0026336	0.17116453	0.11166783	2.651001494
0.0026336	0.17116453	0.1112527	2.708090399
0.0026336	0.17116453	0.11211369	2.591026294
0.0026336	0.17116453	0.11230125	2.566203756
0.0026336	0.16371763	0.11195306	2.612475575
0.0026336	0.16371763	0.11223443	2.575019629
0.0026336	0.16371763	0.11179166	2.634206521
0.0026336	0.16371763	0.11207368	2.596352393
0.0026336	0.16371763	0.11161953	2.657581379
0.0026336	0.15660623	0.11216429	2.584306108
0.0026336	0.15660623	0.11235462	2.559184089
0.0026336	0.15660623	0.11212582	2.589413718
0.0026336	0.15660623	0.11238493	2.555206018
0.0026336	0.15660623	0.11243891	2.548136657
0.0026336	0.15056643	0.11249286	2.541090767
0.0026336	0.15056643	0.11286937	2.492457875
0.0026336	0.15056643	0.11267155	2.517892621
0.0026336	0.15056643	0.11280044	2.501291265
0.0026336	0.15056643	0.11227362	2.569845444
