Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0052668	1.64333415	0.13322188	0.8769472072
0.0052668	1.64333415	0.13001262	1.033968649
0.0052668	1.64333415	0.12941936	1.065935795
0.0052668	1.64333415	0.13071164	0.9975308145
0.0052668	1.64333415	0.13030872	1.018374102
0.0052668	1.72941101	0.13055065	1.005807253
0.0052668	1.72941101	0.13030934	1.018341697
0.0052668	1.72941101	0.1302115	1.023468228
0.0052668	1.72941101	0.13022272	1.022879025
0.0052668	1.72941101	0.13029276	1.01920863
0.0052668	2.42164683	0.13029851	1.018907891
0.0052668	2.42164683	0.13059172	1.003689357
0.0052668	2.42164683	0.13024378	1.021774004
0.0052668	2.42164683	0.13060725	1.002889669
0.0052668	2.42164683	0.13094151	0.9858311861
0.0052668	2.99860168	0.12973441	1.048838521
0.0052668	2.99860168	0.12983716	1.043321958
0.0052668	2.99860168	0.13023485	1.022242417
0.0052668	2.99860168	0.13091451	0.987198254
0.0052668	2.99860168	0.12981497	1.044510859
0.0052668	2.61272931	0.12997735	1.035842041
0.0052668	2.61272931	0.1304028	1.013468646
0.0052668	2.61272931	0.13025218	1.021333588
0.0052668	2.61272931	0.13065898	1.000230524
0.0052668	2.61272931	0.12970446	1.050451996
0.0052668	1.81797135	0.13057277	1.004666015
0.0052668	1.81797135	0.13025442	1.021216175
0.0052668	1.81797135	0.13076274	0.9949180476
0.0052668	1.81797135	0.13037875	1.014720392
0.0052668	1.81797135	0.13044204	1.01142961
0.0052668	1.76351047	0.13051185	1.007812195
0.0052668	1.76351047	0.13110641	0.9775229367
0.0052668	1.76351047	0.13110441	0.9776232831
0.0052668	1.76351047	0.12995516	1.037022419
0.0052668	1.76351047	0.13068722	0.9987818424
0.0052668	1.54079592	0.13048118	1.009399857
0.0052668	1.54079592	0.13059804	1.003363844
0.0052668	1.54079592	0.13034964	1.016237568
0.0052668	1.54079592	0.13083392	0.9912899827
0.0052668	1.54079592	0.13043277	1.011910938
0.0052668	1.77923083	0.13027556	1.020108762
0.0052668	1.77923083	0.13027893	1.019932336
0.0052668	1.77923083	0.12991941	1.038926939
0.0052668	1.77923083	0.13013723	1.027376985
0.0052668	1.77923083	0.13023666	1.022147458
0.0052668	1.91829932	0.13080756	0.9926320143
0.0052668	1.91829932	0.13011229	1.028692898
0.0052668	1.91829932	0.13062915	1.001763053
0.0052668	1.91829932	0.13092843	0.9864932179
0.0052668	1.91829932	0.13007569	1.030627081
0.0052668	1.63657248	0.13027495	1.020140699
0.0052668	1.63657248	0.12983747	1.043305358
0.0052668	1.63657248	0.12989555	1.040199985
0.0052668	1.63657248	0.13016538	1.025893725
0.0052668	1.63657248	0.13066025	1.000165329
0.0052668	1.41147411	0.13050427	1.008204349
