PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0039502	6.05556679	0.12917241	1.079532011
0.0039502	6.05556679	0.12796094	1.148785667
0.0039502	6.05556679	0.1276238	1.168836616
0.0039502	6.05556679	0.12863153	1.109919952
0.0039502	6.05556679	0.1279151	1.151491602
0.0039502	5.6364646	0.12863669	1.109626047
0.0039502	5.6364646	0.1288961	1.094950366
0.0039502	5.6364646	0.12764569	1.167524179
0.0039502	5.6364646	0.12832311	1.127629149
0.0039502	5.6364646	0.12854812	1.114681657
0.0039502	5.52008295	0.12844688	1.120488695
0.0039502	5.52008295	0.12870431	1.105781712
0.0039502	5.52008295	0.1279137	1.151574344
0.0039502	5.52008295	0.12781608	1.157358527
0.0039502	5.52008295	0.1280006	1.146449668
0.0039502	6.04121208	0.12870045	1.106000802
0.0039502	6.04121208	0.12837389	1.124694095
0.0039502	6.04121208	0.12859063	1.112252302
0.0039502	6.04121208	0.12843975	1.120898804
0.0039502	6.04121208	0.12846766	1.11929431
0.0039502	5.43118954	0.12871027	1.105443513
0.0039502	5.43118954	0.12832233	1.127674292
0.0039502	5.43118954	0.12853521	1.115420486
0.0039502	5.43118954	0.12884322	1.097926128
0.0039502	5.43118954	0.12770455	1.164002472
0.0039502	5.22451496	0.1218496	1.572026472
0.0039502	5.22451496	0.12161238	1.59128311
0.0039502	5.22451496	0.12489297	1.344694402
0.0039502	5.22451496	0.12729511	1.188721886
0.0039502	5.22451496	0.12697175	1.208614789
0.0039502	4.49675131	0.12669365	1.225989389
0.0039502	4.49675131	0.12734047	1.185957678
0.0039502	4.49675131	0.12734377	1.185756829
0.0039502	4.49675131	0.12760088	1.170212388
0.0039502	4.49675131	0.12763189	1.1683514
0.0039502	4.81333303	0.12726149	1.190774822
0.0039502	4.81333303	0.12691738	1.21199214
0.0039502	4.81333303	0.12769443	1.164607214
0.0039502	4.81333303	0.12739509	1.182637701
0.0039502	4.81333303	0.12741995	1.18112971
0.0039502	4.47059298	0.12710157	1.200588657
0.0039502	4.47059298	0.127066	1.202782459
0.0039502	4.47059298	0.12784275	1.155775398
0.0039502	4.47059298	0.12712848	1.198931625
0.0039502	4.47059298	0.12791073	1.151749896
0.0039502	3.93889546	0.12734783	1.185509771
0.0039502	3.93889546	0.12804262	1.143979846
0.0039502	3.93889546	0.12743466	1.180238317
0.0039502	3.93889546	0.12734219	1.185852989
0.0039502	3.93889546	0.12812868	1.138938068
0.0039502	4.41216087	0.12804501	1.143839529
0.0039502	4.41216087	0.12780467	1.158036487
0.0039502	4.41216087	0.12787385	1.153932038
0.0039502	4.41216087	0.1279783	1.147762567
