Coagulant mL/s	Turbidity										
0.0019753	0.19728711										Average Turbidity
0.0019753	0.19728711										11.99848091
0.0019753	0.19728711										
0.0019753	0.19728711										
0.0019753	0.19728711										
0.0019753	0.1865149										
0.0019753	0.1865149										
0.0019753	0.1865149										
0.0019753	0.1865149										
0.0019753	0.1865149										
0.0019753	0.17653871										
0.0019753	0.17653871										
0.0019753	0.17653871										
0.0019753	0.17653871										
0.0019753	0.17653871										
0.0019753	0.17084324										
0.0019753	0.17084324										
0.0019753	0.17084324										
0.0019753	0.17084324										
0.0019753	0.17084324										
0.0019753	0.18627682										
0.0019753	0.18627682										
0.0019753	0.18627682										
0.0019753	0.18627682										
0.0019753	0.18627682										
0.0019753	0.17892621										
0.0019753	0.17892621										
0.0019753	0.17892621										
0.0019753	0.17892621										
0.0019753	0.17892621										
0.0019753	0.17892621										
0.0019753	0.17289174										
0.0019753	0.17289174										
0.0019753	0.17289174										
0.0019753	0.17289174										
0.0019753	0.17289174										
0.0019753	0.16899152										
0.0019753	0.16899152										
0.0019753	0.16899152										
0.0019753	0.16899152										
0.0019753	0.16899152										
0.0019753	0.16588432										
0.0019753	0.16588432										
0.0019753	0.16588432										
0.0019753	0.16588432										
0.0019753	0.16588432										
0.0019753	0.16787353										
0.0019753	0.16787353										
0.0019753	0.16787353										
0.0019753	0.16787353										
0.0019753	0.16787353										
0.0019753	0.16489008										
0.0019753	0.16489008										
0.0019753	0.16489008										
0.0019753	0.16489008										
0.0019753	0.16489008										
0.0019753	0.16924986										
0.0019753	0.16924986										
0.0019753	0.16924986										
0.0019753	0.16924986										
0.0019753	0.16924986										
0.0019753	0.16886018										
0.0019753	0.16886018										
0.0019753	0.16886018										
0.0019753	0.16886018										
0.0019753	0.16886018										
0.0019753	0.16573256										
0.0019753	0.16573256										
0.0019753	0.16573256										
0.0019753	0.16573256										
0.0019753	0.16573256										
0.0019753	0.16416214										
0.0019753	0.16416214										
0.0019753	0.16416214										
0.0019753	0.16416214										
0.0019753	0.16416214										
0.0019753	0.16249779										
0.0019753	0.16249779										
0.0019753	0.16249779										
0.0019753	0.16249779										
0.0019753	0.16249779										
0.0019753	0.16205734										
0.0019753	0.16205734										
0.0019753	0.16205734										
0.0019753	0.16205734										
0.0019753	0.16205734										
0.0019753	0.16333738										
0.0019753	0.16333738										
0.0019753	0.16333738										
0.0019753	0.16333738										
0.0019753	0.16333738										
0.0019753	0.16187552										
0.0019753	0.16187552										
0.0019753	0.16187552										
0.0019753	0.16187552										
0.0019753	0.16187552										
0.0019753	0.1603584										
0.0019753	0.1603584										
0.0019753	0.1603584										
0.0019753	0.1603584										
0.0019753	0.1603584										
0.0019753	0.16079332										
0.0019753	0.16079332										
0.0019753	0.16079332										
0.0019753	0.16079332										
0.0019753	0.16079332										
0.0019753	0.16246933										
0.0019753	0.16246933										
0.0019753	0.16246933										
0.0019753	0.16246933										
0.0019753	0.16246933										
0.0019753	0.16344389										
0.0019753	0.16344389										
0.0019753	0.16344389										
0.0019753	0.16344389										
0.0019753	0.16344389										
0.0019753	0.16918503										
0.0019753	0.16918503										
0.0019753	0.16918503										
0.0019753	0.16918503										
0.0019753	0.16918503										
0.0019753	0.17285232										
0.0019753	0.17285232										
0.0019753	0.17285232										
0.0019753	0.17285232										
0.0019753	0.17285232										
0.0019753	0.17081392										
0.0019753	0.17081392										
0.0019753	0.17081392										
0.0019753	0.17081392										
0.0019753	0.17081392										
0.0019753	0.16591798										
0.0019753	0.16591798										
0.0019753	0.16591798										
