Coagulant mL/s	Turbidity	Average Turbidity
0.0052668	1.64333415	11.52534637
0.0052668	1.64333415	
0.0052668	1.64333415	
0.0052668	1.64333415	
0.0052668	1.64333415	
0.0052668	1.72941101	
0.0052668	1.72941101	
0.0052668	1.72941101	
0.0052668	1.72941101	
0.0052668	1.72941101	
0.0052668	2.42164683	
0.0052668	2.42164683	
0.0052668	2.42164683	
0.0052668	2.42164683	
0.0052668	2.42164683	
0.0052668	2.99860168	
0.0052668	2.99860168	
0.0052668	2.99860168	
0.0052668	2.99860168	
0.0052668	2.99860168	
0.0052668	2.61272931	
0.0052668	2.61272931	
0.0052668	2.61272931	
0.0052668	2.61272931	
0.0052668	2.61272931	
0.0052668	1.81797135	
0.0052668	1.81797135	
0.0052668	1.81797135	
0.0052668	1.81797135	
0.0052668	1.81797135	
0.0052668	1.76351047	
0.0052668	1.76351047	
0.0052668	1.76351047	
0.0052668	1.76351047	
0.0052668	1.76351047	
0.0052668	1.54079592	
0.0052668	1.54079592	
0.0052668	1.54079592	
0.0052668	1.54079592	
0.0052668	1.54079592	
0.0052668	1.77923083	
0.0052668	1.77923083	
0.0052668	1.77923083	
0.0052668	1.77923083	
0.0052668	1.77923083	
0.0052668	1.91829932	
0.0052668	1.91829932	
0.0052668	1.91829932	
0.0052668	1.91829932	
0.0052668	1.91829932	
0.0052668	1.63657248	
0.0052668	1.63657248	
0.0052668	1.63657248	
0.0052668	1.63657248	
0.0052668	1.63657248	
0.0052668	1.41147411	
0.0052668	1.41147411	
0.0052668	1.41147411	
0.0052668	1.41147411	
0.0052668	1.41147411	
0.0052668	1.41382599	
0.0052668	1.41382599	
0.0052668	1.41382599	
0.0052668	1.41382599	
0.0052668	1.41382599	
0.0052668	1.40343976	
0.0052668	1.40343976	
0.0052668	1.40343976	
0.0052668	1.40343976	
0.0052668	1.40343976	
0.0052668	1.40343976	
0.0052668	1.27709627	
0.0052668	1.27709627	
0.0052668	1.27709627	
0.0052668	1.27709627	
0.0052668	1.27709627	
0.0052668	1.83039927	
0.0052668	1.83039927	
0.0052668	1.83039927	
0.0052668	1.83039927	
0.0052668	1.83039927	
0.0052668	1.78841197	
0.0052668	1.78841197	
0.0052668	1.78841197	
0.0052668	1.78841197	
0.0052668	1.78841197	
0.0052668	1.7010293	
0.0052668	1.7010293	
0.0052668	1.7010293	
0.0052668	1.7010293	
0.0052668	1.7010293	
0.0052668	1.36471701	
0.0052668	1.36471701	
0.0052668	1.36471701	
0.0052668	1.36471701	
0.0052668	1.36471701	
0.0052668	1.21352899	
0.0052668	1.21352899	
0.0052668	1.21352899	
0.0052668	1.21352899	
0.0052668	1.21352899	
0.0052668	1.02778947	
0.0052668	1.02778947	
0.0052668	1.02778947	
0.0052668	1.02778947	
0.0052668	1.02778947	
0.0052668	1.09416568	
0.0052668	1.09416568	
0.0052668	1.09416568	
0.0052668	1.09416568	
0.0052668	1.09416568	
0.0052668	1.65861905	
0.0052668	1.65861905	
0.0052668	1.65861905	
0.0052668	1.65861905	
0.0052668	1.65861905	
0.0052668	1.49027169	
0.0052668	1.49027169	
0.0052668	1.49027169	
0.0052668	1.49027169	
0.0052668	1.49027169	
0.0052668	1.20173275	
0.0052668	1.20173275	
0.0052668	1.20173275	
0.0052668	1.20173275	
0.0052668	1.20173275	
0.0052668	1.57929909	
0.0052668	1.57929909	
0.0052668	1.57929909	
