Day fraction since midnight on 10/20/2019,Time (seconds),Time since start (seconds),Water Pump Control (rpm),Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Just Water Pump Control (rpm)
start 1st expt 10,,,,,,,
0.45621678,39417.12979,0,37.4325,19.00125,9.5025,0.21006303,60
0.45622834,39418.12858,0.998784,37.4325,19.00125,9.5025,0.21006303,60
0.45623993,39419.12995,2.00016,37.4325,19.00125,9.5025,0.21006303,60
0.4562515,39420.1296,2.999808,37.4325,19.00125,9.5025,0.21006303,60
0.45626309,39421.13098,4.001184,37.4325,19.00125,9.5025,0.21006303,60
0.45627466,39422.13062,5.000832,37.4325,19.00125,9.5025,0.21006303,60
0.45628623,39423.13027,6.00048,37.4325,19.00125,9.5025,0.19765633,60
0.45629779,39424.12906,6.999264,37.4325,19.00125,9.5025,0.19765633,60
0.45630936,39425.1287,7.998912,37.4325,19.00125,9.5025,0.19765633,60
0.45632095,39426.13008,9.000288,37.4325,19.00125,9.5025,0.19765633,60
0.45633252,39427.12973,9.999936,37.4325,19.00125,9.5025,0.19765633,60
0.45634409,39428.12938,10.999584,37.4325,19.00125,9.5025,0.19617768,60
0.45635566,39429.12902,11.999232,37.4325,19.00125,9.5025,0.19617768,60
0.45636725,39430.1304,13.000608,37.4325,19.00125,9.5025,0.19617768,60
0.45637882,39431.13005,14.000256,37.4325,19.00125,9.5025,0.19617768,60
0.45639039,39432.1297,14.999904,37.4325,19.00125,9.5025,0.19617768,60
0.45640195,39433.12848,15.998688,37.4325,19.00125,9.5025,0.19617768,60
0.45641354,39434.12986,17.000064,37.4325,19.00125,9.5025,0.19570015,60
0.45642511,39435.1295,17.999712,37.4325,19.00125,9.5025,0.19570015,60
0.4564367,39436.13088,19.001088,37.4325,19.00125,9.5025,0.19570015,60
0.45644827,39437.13053,20.000736,37.4325,19.00125,9.5025,0.19570015,60
0.45645984,39438.13018,21.000384,37.4325,19.00125,9.5025,0.19570015,60
0.4564714,39439.12896,21.999168,37.4325,19.00125,9.5025,0.19698046,60
0.45648297,39440.12861,22.998816,37.4325,19.00125,9.5025,0.19698046,60
0.45649456,39441.12998,24.000192,37.4325,19.00125,9.5025,0.19698046,60
0.45650613,39442.12963,24.99984,37.4325,19.00125,9.5025,0.19698046,60
0.45651769,39443.12842,25.998624,37.4325,19.00125,9.5025,0.19698046,60
0.45652929,39444.13066,27.000864,37.4325,19.00125,9.5025,0.19698046,60
0.45654086,39445.1303,28.000512,37.4325,19.00125,9.5025,0.19496746,60
0.45655243,39446.12995,29.00016,37.4325,19.00125,9.5025,0.19496746,60
0.45656399,39447.12874,29.998944,37.4325,19.00125,9.5025,0.19496746,60
0.45657558,39448.13011,31.00032,37.4325,19.00125,9.5025,0.19496746,60
0.45658715,39449.12976,31.999968,37.4325,19.00125,9.5025,0.19496746,60
0.45659872,39450.12941,32.999616,37.4325,19.00125,9.5025,0.19435398,60
0.45661031,39451.13078,34.000992,37.4325,19.00125,9.5025,0.19435398,60
0.45662187,39452.12957,34.999776,37.4325,19.00125,9.5025,0.19435398,60
0.45663345,39453.13008,36.000288,37.4325,19.00125,9.5025,0.19435398,60
0.45664501,39454.12886,36.999072,37.4325,19.00125,9.5025,0.19435398,60
0.4566566,39455.13024,38.000448,37.4325,19.00125,9.5025,0.19435398,60
0.45666817,39456.12989,39.000096,37.4325,19.00125,9.5025,0.19162196,60
0.45667976,39457.13126,40.001472,37.4325,19.00125,9.5025,0.19162196,60
0.45669131,39458.12918,40.999392,37.4325,19.00125,9.5025,0.19162196,60
0.4567029,39459.13056,42.000768,37.4325,19.00125,9.5025,0.19162196,60
0.45671446,39460.12934,42.999552,37.4325,19.00125,9.5025,0.19162196,60
0.45672603,39461.12899,43.9992,37.4325,19.00125,9.5025,0.19432797,60
0.45673762,39462.13037,45.000576,37.4325,19.00125,9.5025,0.19432797,60
0.45674919,39463.13002,46.000224,37.4325,19.00125,9.5025,0.19432797,60
0.45676075,39464.1288,46.999008,37.4325,19.00125,9.5025,0.19432797,60
0.45677234,39465.13018,48.000384,37.4325,19.00125,9.5025,0.19432797,60
0.45678391,39466.12982,49.000032,37.4325,19.00125,9.5025,0.19432797,60
0.45679548,39467.12947,49.99968,37.4325,19.00125,9.5025,0.20195176,60
0.45680705,39468.12912,50.999328,37.4325,19.00125,9.5025,0.20195176,60
0.45681864,39469.1305,52.000704,37.4325,19.00125,9.5025,0.20195176,60
0.45683023,39470.13187,53.00208,37.4325,19.00125,9.5025,0.20195176,60
0.45684177,39471.12893,53.999136,37.4325,19.00125,9.5025,0.20195176,60
0.45685352,39472.14413,55.014336,37.4325,19.00125,9.5025,0.20195176,60
0.45686493,39473.12995,56.00016,37.4325,19.00125,9.5025,0.20540456,60
0.4568765,39474.1296,56.999808,37.4325,19.00125,9.5025,0.20540456,60
0.45688806,39475.12838,57.998592,37.4325,19.00125,9.5025,0.20540456,60
