Day fraction since midnight on 11/3/2019,Time (seconds),Time Elapsed (seconds),Fluoride Probe (volts),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
start expt,,,,,,,,,
0.50,43030.80029,0,0.18151125,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.35223198
0.50,43031.79821,0.99792,0.1816159,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.35223198
0.50,43032.79958,1.999296,0.18060814,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.31802809
0.50,43033.79923,2.998944,0.18143718,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.31802809
0.50,43034.80061,4.00032,0.18147837,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.31802809
0.50,43035.79853,4.99824,0.18091558,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.31802809
0.50,43036.79818,5.997888,0.1795699,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.31802809
0.50,43037.79955,6.999264,0.18177246,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.30232784
0.50,43038.7992,7.998912,0.18129949,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.30232784
0.50,43039.79798,8.997696,0.17946835,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.30232784
0.50,43040.79763,9.997344,0.1812368,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.30232784
0.50,43041.79814,10.997856,0.18273264,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.30232784
0.50,43042.79952,11.999232,0.18119705,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28835088
0.50,43043.7983,12.998016,0.18036287,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28835088
0.50,43044.79795,13.997664,0.18191288,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28835088
0.50,43045.79933,14.99904,0.18029344,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28835088
0.50,43046.79898,15.998688,0.18130617,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28835088
0.50,43047.79862,16.998336,0.17993933,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2800799
0.50,43048.79827,17.997984,0.18183477,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2800799
0.50,43049.79965,18.99936,0.18302462,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2800799
0.50,43050.79843,19.998144,0.18064155,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2800799
0.50,43051.79894,20.998656,0.18063302,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2800799
0.50,43052.79859,21.998304,0.18316816,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27379
0.50,43053.79824,22.997952,0.18055777,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27379
0.50,43054.79962,23.999328,0.1805964,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27379
0.50,43055.79926,24.998976,0.18171415,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27379
0.50,43056.79891,25.998624,0.18262884,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27379
0.50,43057.79856,26.998272,0.18136841,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26675004
0.50,43058.79821,27.99792,0.18114635,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26675004
0.50,43059.79786,28.997568,0.18276346,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26675004
0.50,43060.79923,29.998944,0.18206009,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26675004
0.50,43061.79888,30.998592,0.18086627,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26675004
0.50,43062.79853,31.99824,0.18315309,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26971999
0.50,43063.7999,32.999616,0.18370421,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26971999
0.50,43064.79955,33.999264,0.18156658,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26971999
0.50,43065.7992,34.998912,0.18157171,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26971999
0.50,43066.79798,35.997696,0.18319592,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26971999
0.50,43067.79763,36.997344,0.18142606,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26764846
0.50,43068.79901,37.99872,0.18245772,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26764846
0.50,43069.79866,38.998368,0.18142094,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26764846
0.50,43070.7983,39.998016,0.18414868,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26764846
0.50,43071.79795,40.997664,0.18295726,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26764846
0.50,43072.79933,41.99904,0.18424211,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26528332
0.50,43073.79898,42.998688,0.1832909,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26528332
0.50,43074.79776,43.997472,0.18403256,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26528332
0.50,43075.79827,44.997984,0.18461721,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26528332
0.50,43076.79792,45.997632,0.18257496,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26528332
0.50,43077.7993,46.999008,0.1811246,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26335248
0.50,43078.79894,47.998656,0.18139178,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26335248
0.50,43079.79859,48.998304,0.1811361,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26335248
0.50,43080.79824,49.997952,0.18305889,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26335248
0.50,43081.79789,50.9976,0.18161516,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.26335248
0.50,43082.79926,51.998976,0.18186234,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29845506
0.50,43083.79891,52.998624,0.18224289,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29845506
0.50,43084.79856,53.998272,0.18396655,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29845506
0.50,43085.79821,54.99792,0.18071511,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29845506
0.50,43086.79786,55.997568,0.18042991,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.29845506
0.50,43087.79923,56.998944,0.18298779,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2831229
0.50,43088.79888,57.998592,0.18245284,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2831229
0.50,43089.79853,58.99824,0.18111891,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2831229
0.50,43090.79818,59.997888,0.18241557,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2831229
0.50,43091.79782,60.997536,0.18244678,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.2831229
0.50,43092.7992,61.998912,0.18159629,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27624837
0.50,43093.79885,62.99856,0.18185414,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27624837
0.50,43094.7985,63.998208,0.18064806,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27624837
0.50,43095.80074,65.000448,0.18292822,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27624837
0.50,43096.79952,65.999232,0.18013431,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27624837
0.50,43097.7983,66.998016,0.18003273,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27017567
0.50,43098.79795,67.997664,0.1839762,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27017567
0.50,43099.79933,68.99904,0.18003793,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27017567
0.50,43100.79898,69.998688,0.18184887,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27017567
0.50,43101.79776,70.997472,0.18150662,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27017567
0.50,43102.79914,71.998848,0.18158355,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28033403
0.50,43103.79878,72.998496,0.18249355,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28033403
0.50,43104.79843,73.998144,0.18233868,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28033403
0.50,43105.79808,74.997792,0.18088134,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28033403
0.50,43106.79946,75.999168,0.18122168,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.28033403
0.50,43107.79824,76.997952,0.18246004,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27818897
0.50,43108.80048,78.000192,0.18169299,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27818897
0.50,43109.80013,78.99984,0.18140303,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27818897
0.50,43110.79805,79.99776,0.18109168,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27818897
0.50,43111.79942,80.999136,0.18169825,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27818897
0.50,43112.79907,81.998784,0.18221255,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27818897
0.50,43113.79786,82.997568,0.18114902,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27391028
0.50,43114.79923,83.998944,0.18370603,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27391028
0.50,43115.79888,84.998592,0.18119374,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27391028
0.50,43116.79853,85.99824,0.18071696,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27391028
0.50,43117.79818,86.997888,0.18174581,0.001317,0.654083,41.31050526,3.25185185,8.13333333,0.27391028
