Day fraction since midnight on 11/3/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.41839607	0.45241901	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41840763	0.44719705	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41841921	0.47619417	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41843077	0.44475836	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41844234	0.42093199	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41845394	0.43982017	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41846550	0.43658382	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41847707	0.42353341	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41848864	0.42063293	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41850023	0.41118637	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41851179	0.39827198	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41852336	0.40141329	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41853494	0.38960820	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41854653	0.38096702	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41855808	0.37581640	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41856967	0.37042943	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41858124	0.37166134	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41859281	0.36824524	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41860439	0.35766232	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41861595	0.35044840	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41862753	0.35011232	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41863912	0.32952464	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41865069	0.32593974	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41866226	0.33210140	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41867382	0.33262798	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41868542	0.31377989	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41869698	0.31034225	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41870858	0.31618345	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41872012	0.29628116	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41873169	0.27229971	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41874328	0.27464703	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41875485	0.29622197	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41876642	0.31497139	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41877801	0.30359256	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41878958	0.29460096	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41880117	0.30158225	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41881272	0.29282546	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41882429	0.31127372	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41883588	0.25192839	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41884744	0.22742832	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41885901	0.24113925	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41887060	0.23805599	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41888217	0.27162945	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41889374	0.32937214	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41890533	0.37240881	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41891690	0.31810385	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41892846	0.34066030	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41894003	0.33119193	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41895160	0.31893799	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41896319	0.30965629	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41897476	0.29793322	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41898633	0.28861031	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41899790	0.28317320	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41900949	0.26898417	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41902106	0.26450622	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41903262	0.25543839	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41904421	0.24996963	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41905578	0.24415302	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41906735	0.23816644	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41907892	0.24925408	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
