Day fraction since midnight on 10/20/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.38197959	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
Day fraction since midnight on 10/20/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.38198822	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38200563	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38201138	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38202294	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38203452	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38204611	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38205766	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38206924	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38208604	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38209239	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38210397	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38211554	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38212713	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38214163	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38215027	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38216184	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38217342	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38218498	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38219655	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38220967	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38221972	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38223129	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38224287	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38225443	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38226600	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38227776	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38228916	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38230073	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38231229	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38232388	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38233546	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38234703	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38236405	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38237647	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38238174	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38239332	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38240488	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38241646	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38243208	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38243962	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38245119	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38246278	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38247434	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38248592	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38250014	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38250907	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38252065	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38253220	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38254379	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38255535	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38256823	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38257851	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38259008	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38260166	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38261324	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38262479	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38263638	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38264795	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38265953	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38267110	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38268267	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38269425	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38270581	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38271740	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38272896	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38274055	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38275211	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38276368	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38277526	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38278683	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38279841	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38281000	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38282155	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38283313	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38284471	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38285628	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38286786	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38287943	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38289101	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38290258	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38291416	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38292572	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38293729	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38294887	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38296046	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38297202	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38298361	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38299516	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38300674	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38301832	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38302990	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38304146	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38305304	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38306462	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38307619	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38308776	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38309934	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38311090	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38312248	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38313407	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38314564	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38315722	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38316878	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38318036	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38319335	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38320350	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38321509	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38322664	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38323822	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38324981	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38326137	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38327294	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38328452	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38329609	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38330767	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38331924	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38333081	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38334239	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38335397	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38336555	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38337711	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38338868	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38340026	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38341185	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38342342	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38343498	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38344658	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38345814	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38346971	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38348129	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38349286	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38350443	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38351601	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38352758	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38353915	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38355073	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38356230	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38357389	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38358545	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38359702	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38360859	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38360962	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
Day fraction since midnight on 10/20/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.38368964	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38370121	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38371278	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38372435	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38373594	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38374750	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
