Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
0.37463193,32368.19875,0,0.0006587,0.6547413,0,0,0,-999
0.37463864,32368.7785,0.579744,0.0006587,0.6547413,0,0,0,-999
0.37465023,32369.77987,1.58112,0.0006587,0.6547413,0,0,0,-999
0.37466179,32370.77866,2.579904,0.0006587,0.6547413,0,0,0,-999
0.37467336,32371.7783,3.579552,0.0006587,0.6547413,0,0,0,-999
0.37468493,32372.77795,4.5792,0.0006587,0.6547413,0,0,0,-999
0.37469652,32373.77933,5.580576,0.0006587,0.6547413,0,0,0,-999
0.37470811,32374.7807,6.581952,0.0006587,0.6547413,0,0,0,-999
0.37471968,32375.78035,7.5816,0.0006587,0.6547413,0,0,0,-999
0.37473125,32376.78,8.581248,0.0006587,0.6547413,0,0,0,-999
0.37474281,32377.77878,9.580032,0.0006587,0.6547413,0,0,0,-999
0.37475438,32378.77843,10.57968,0.0006587,0.6547413,0,0,0,-999
0.37476597,32379.77981,11.581056,0.0006587,0.6547413,0,0,0,-999
0.37477754,32380.77946,12.580704,0.0006587,0.6547413,0,0,0,-999
0.37478911,32381.7791,13.580352,0.0006587,0.6547413,0,0,0,-999
0.37480068,32382.77875,14.58,0.0006587,0.6547413,0,0,0,-999
0.37481227,32383.78013,15.581376,0.0006587,0.6547413,0,0,0,-999
0.37482383,32384.77891,16.58016,0.0006587,0.6547413,0,0,0,-999
0.3748354,32385.77856,17.579808,0.0006587,0.6547413,0,0,0,-999
0.37484697,32386.77821,18.579456,0.0006587,0.6547413,0,0,0,-999
0.37485856,32387.77958,19.580832,0.0006587,0.6547413,0,0,0,-999
0.37487014,32388.7801,20.581344,0.0006587,0.6547413,0,0,0,-999
0.3748817,32389.77888,21.580128,0.0006587,0.6547413,0,0,0,-999
0.37489327,32390.77853,22.579776,0.0006587,0.6547413,0,0,0,-999
0.37490486,32391.7799,23.581152,0.0006587,0.6547413,0,0,0,-999
0.37491643,32392.77955,24.5808,0.0006587,0.6547413,0,0,0,-999
0.37492799,32393.77834,25.579584,0.0006587,0.6547413,0,0,0,-999
0.37493956,32394.77798,26.579232,0.0006587,0.6547413,0,0,0,-999
0.37495115,32395.77936,27.580608,0.0006587,0.6547413,0,0,0,-999
0.37496272,32396.77901,28.580256,0.0006587,0.6547413,0,0,0,-999
0.37497429,32397.77866,29.579904,0.0006587,0.6547413,0,0,0,-999
0.37498588,32398.78003,30.58128,0.0006587,0.6547413,0,0,0,-999
0.37499744,32399.77882,31.580064,0.0006587,0.6547413,0,0,0,-999
0.37500901,32400.77846,32.579712,0.0006587,0.6547413,0,0,0,-999
0.3750206,32401.77984,33.581088,0.0006587,0.6547413,0,0,0,-999
0.37503217,32402.77949,34.580736,0.0006587,0.6547413,0,0,0,-999
0.37504374,32403.77914,35.580384,0.0006587,0.6547413,0,0,0,-999
0.3750553,32404.77792,36.579168,0.0006587,0.6547413,0,0,0,-999
0.37506689,32405.7793,37.580544,0.0006587,0.6547413,0,0,0,-999
0.37507846,32406.77894,38.580192,0.0006587,0.6547413,0,0,0,-999
0.37509003,32407.77859,39.57984,0.0006587,0.6547413,0,0,0,-999
0.37510162,32408.77997,40.581216,0.0006587,0.6547413,0,0,0,-999
0.37511319,32409.77962,41.580864,0.0006587,0.6547413,0,0,0,-999
0.37512475,32410.7784,42.579648,0.0006587,0.6547413,0,0,0,-999
0.37513634,32411.77978,43.581024,0.0006587,0.6547413,0,0,0,-999
0.37514791,32412.77942,44.580672,0.0006587,0.6547413,0,0,0,-999
0.37515948,32413.77907,45.58032,0.0006587,0.6547413,0,0,0,-999
0.37517105,32414.77872,46.579968,0.0006587,0.6547413,0,0,0,-999
0.37518262,32415.77837,47.579616,0.0006587,0.6547413,0,0,0,-999
0.37519421,32416.77974,48.580992,0.0006587,0.6547413,0,0,0,-999
0.37520578,32417.77939,49.58064,0.0006587,0.6547413,0,0,0,-999
0.37521735,32418.77904,50.580288,0.0006587,0.6547413,0,0,0,-999
0.37522894,32419.78042,51.581664,0.0006587,0.6547413,0,0,0,-999
0.3752405,32420.7792,52.580448,0.0006587,0.6547413,0,0,0,-999
0.37525207,32421.77885,53.580096,0.0006587,0.6547413,0,0,0,-999
0.37526364,32422.7785,54.579744,0.0006587,0.6547413,0,0,0,-999
0.37527523,32423.77987,55.58112,0.0006587,0.6547413,0,0,0,-999
0.37528679,32424.77866,56.579904,0.0006587,0.6547413,0,0,0,-999
0.37529836,32425.7783,57.579552,0.0006587,0.6547413,0,0,0,-999
0.37530995,32426.77968,58.580928,0.0006587,0.6547413,0,0,0,-999
0.37532152,32427.77933,59.580576,0.0006587,0.6547413,0,0,0,-999
0.37533309,32428.77898,60.580224,0.0006587,0.6547413,0,0,0,-999
0.37534466,32429.77862,61.579872,0.0006587,0.6547413,0,0,0,-999
0.37535623,32430.77827,62.57952,0.0006587,0.6547413,0,0,0,-999
0.37536782,32431.77965,63.580896,0.0006587,0.6547413,0,0,0,-999
0.37537938,32432.77843,64.57968,0.0006587,0.6547413,0,0,0,-999
0.37539095,32433.77808,65.579328,0.0006587,0.6547413,0,0,0,-999
0.37540254,32434.77946,66.580704,0.0006587,0.6547413,0,0,0,-999
0.37541411,32435.7791,67.580352,0.0006587,0.6547413,0,0,0,-999
0.37542568,32436.77875,68.58,0.0006587,0.6547413,0,0,0,-999
0.37543725,32437.7784,69.579648,0.0006587,0.6547413,0,0,0,-999
0.37544882,32438.77805,70.579296,0.0006587,0.6547413,0,0,0,-999
0.37546041,32439.77942,71.580672,0.0006587,0.6547413,0,0,0,-999
0.37547198,32440.77907,72.58032,0.0006587,0.6547413,0,0,0,-999
0.37548355,32441.77872,73.579968,0.0006587,0.6547413,0,0,0,-999
0.37549514,32442.7801,74.581344,0.0006587,0.6547413,0,0,0,-999
0.3755067,32443.77888,75.580128,0.0006587,0.6547413,0,0,0,-999
0.37551829,32444.78026,76.581504,0.0006587,0.6547413,0,0,0,-999
0.37552986,32445.7799,77.581152,0.0006587,0.6547413,0,0,0,-999
0.37554143,32446.77955,78.5808,0.0006587,0.6547413,0,0,0,-999
0.37555299,32447.77834,79.579584,0.0006587,0.6547413,0,0,0,-999
0.37556457,32448.77885,80.580096,0.0006587,0.6547413,0,0,0,-999
0.37557616,32449.78022,81.581472,0.0006587,0.6547413,0,0,0,-999
0.37558772,32450.77901,82.580256,0.0006587,0.6547413,0,0,0,-999
0.37559929,32451.77866,83.579904,0.0006587,0.6547413,0,0,0,-999
0.37561089,32452.7809,84.582144,0.0006587,0.6547413,0,0,0,-999
0.37562244,32453.77882,85.580064,0.0006587,0.6547413,0,0,0,-999
0.37563401,32454.77846,86.579712,0.0006587,0.6547413,0,0,0,-999
0.3756456,32455.77984,87.581088,0.0006587,0.6547413,0,0,0,-999
0.37565716,32456.77862,88.579872,0.0006587,0.6547413,0,0,0,-999
0.37566873,32457.77827,89.57952,0.0006587,0.6547413,0,0,0,-999
0.37568032,32458.77965,90.580896,0.0006587,0.6547413,0,0,0,-999
0.37569189,32459.7793,91.580544,0.0006587,0.6547413,0,0,0,-999
0.37570348,32460.78067,92.58192,0.0006587,0.6547413,0,0,0,-999
0.37571502,32461.77773,93.578976,0.0006587,0.6547413,0,0,0,-999
0.37572661,32462.7791,94.580352,0.0006587,0.6547413,0,0,0,-999
0.37573818,32463.77875,95.58,0.0006587,0.6547413,0,0,0,-999
0.37574975,32464.7784,96.579648,0.0006587,0.6547413,0,0,0,-999
0.37576134,32465.77978,97.581024,0.0006587,0.6547413,0,0,0,-999
0.37577293,32466.78115,98.5824,0.0006587,0.6547413,0,0,0,-999
0.37578447,32467.77821,99.579456,0.0006587,0.6547413,0,0,0,-999
0.37579606,32468.77958,100.580832,0.0006587,0.6547413,0,0,0,-999
0.37580763,32469.77923,101.58048,0.0006587,0.6547413,0,0,0,-999
0.3758192,32470.77888,102.580128,0.0006587,0.6547413,0,0,0,-999
0.37583077,32471.77853,103.579776,0.0006587,0.6547413,0,0,0,-999
0.37584236,32472.7799,104.581152,0.0006587,0.6547413,0,0,0,-999
0.37585392,32473.77869,105.579936,0.0006587,0.6547413,0,0,0,-999
0.37586549,32474.77834,106.579584,0.0006587,0.6547413,0,0,0,-999
0.37587708,32475.77971,107.58096,0.0006587,0.6547413,0,0,0,-999
0.37588865,32476.77936,108.580608,0.0006587,0.6547413,0,0,0,-999
0.37590022,32477.77901,109.580256,0.0006587,0.6547413,0,0,0,-999
0.37591181,32478.78038,110.581632,0.0006587,0.6547413,0,0,0,-999
0.37592337,32479.77917,111.580416,0.0006587,0.6547413,0,0,0,-999
0.37593494,32480.77882,112.580064,0.0006587,0.6547413,0,0,0,-999
0.37594651,32481.77846,113.579712,0.0006587,0.6547413,0,0,0,-999
0.3759581,32482.77984,114.581088,0.0006587,0.6547413,0,0,0,-999
0.37596967,32483.77949,115.580736,0.0006587,0.6547413,0,0,0,-999
0.37598124,32484.77914,116.580384,0.0006587,0.6547413,0,0,0,-999
0.3759928,32485.77792,117.579168,0.0006587,0.6547413,0,0,0,-999
0.3760044,32486.78016,118.581408,0.0006587,0.6547413,0,0,0,-999
0.37601597,32487.77981,119.581056,0.0006587,0.6547413,0,0,0,-999
0.37602753,32488.77859,120.57984,0.0006587,0.6547413,0,0,0,-999
0.3760391,32489.77824,121.579488,0.0006587,0.6547413,0,0,0,-999
0.37605069,32490.77962,122.580864,0.0006587,0.6547413,0,0,0,-999
0.37606226,32491.77926,123.580512,0.0006587,0.6547413,0,0,0,-999
0.37607383,32492.77891,124.58016,0.0006587,0.6547413,0,0,0,-999
0.37608542,32493.78029,125.581536,0.0006587,0.6547413,0,0,0,-999
0.37609698,32494.77907,126.58032,0.0006587,0.6547413,0,0,0,-999
0.37610855,32495.77872,127.579968,0.0006587,0.6547413,0,0,0,-999
0.37612012,32496.77837,128.579616,0.0006587,0.6547413,0,0,0,-999
0.37613171,32497.77974,129.580992,0.0006587,0.6547413,0,0,0,-999
0.37614328,32498.77939,130.58064,0.0006587,0.6547413,0,0,0,-999
0.37615484,32499.77818,131.579424,0.0006587,0.6547413,0,0,0,-999
0.37616641,32500.77782,132.579072,0.0006587,0.6547413,0,0,0,-999
0.37617801,32501.78006,133.581312,0.0006587,0.6547413,0,0,0,-999
0.37618958,32502.77971,134.58096,0.0006587,0.6547413,0,0,0,-999
0.37620114,32503.7785,135.579744,0.0006587,0.6547413,0,0,0,-999
0.37621271,32504.77814,136.579392,0.0006587,0.6547413,0,0,0,-999
0.3762243,32505.77952,137.580768,0.0006587,0.6547413,0,0,0,-999
0.37623587,32506.77917,138.580416,0.0006587,0.6547413,0,0,0,-999
0.37624746,32507.78054,139.581792,0.0006587,0.6547413,0,0,0,-999
0.37625903,32508.78019,140.58144,0.0006587,0.6547413,0,0,0,-999
0.37627059,32509.77898,141.580224,0.0006587,0.6547413,0,0,0,-999
0.37628216,32510.77862,142.579872,0.0006587,0.6547413,0,0,0,-999
0.37629373,32511.77827,143.57952,0.0006587,0.6547413,0,0,0,-999
0.37630532,32512.77965,144.580896,0.0006587,0.6547413,0,0,0,-999
0.37631689,32513.7793,145.580544,0.0006587,0.6547413,0,0,0,-999
0.37632846,32514.77894,146.580192,0.0006587,0.6547413,0,0,0,-999
0.37634003,32515.77859,147.57984,0.0006587,0.6547413,0,0,0,-999
0.37635162,32516.77997,148.581216,0.0006587,0.6547413,0,0,0,-999
0.37636318,32517.77875,149.58,0.0006587,0.6547413,0,0,0,-999
0.37637475,32518.7784,150.579648,0.0006587,0.6547413,0,0,0,-999
0.37638634,32519.77978,151.581024,0.0006587,0.6547413,0,0,0,-999
0.37639791,32520.77942,152.580672,0.0006587,0.6547413,0,0,0,-999
0.37640948,32521.77907,153.58032,0.0006587,0.6547413,0,0,0,-999
0.37642105,32522.77872,154.579968,0.0006587,0.6547413,0,0,0,-999
0.37643264,32523.7801,155.581344,0.0006587,0.6547413,0,0,0,-999
0.37644421,32524.77974,156.580992,0.0006587,0.6547413,0,0,0,-999
0.37645578,32525.77939,157.58064,0.0006587,0.6547413,0,0,0,-999
0.37646734,32526.77818,158.579424,0.0006587,0.6547413,0,0,0,-999
0.37647893,32527.77955,159.5808,0.0006587,0.6547413,0,0,0,-999
0.3764905,32528.7792,160.580448,0.0006587,0.6547413,0,0,0,-999
0.37650207,32529.77885,161.580096,0.0006587,0.6547413,0,0,0,-999
0.37651366,32530.78022,162.581472,0.0006587,0.6547413,0,0,0,-999
0.37652522,32531.77901,163.580256,0.0006587,0.6547413,0,0,0,-999
0.37653681,32532.78038,164.581632,0.0006587,0.6547413,0,0,0,-999
0.37654836,32533.7783,165.579552,0.0006587,0.6547413,0,0,0,-999
0.37655995,32534.77968,166.580928,0.0006587,0.6547413,0,0,0,-999
0.37657152,32535.77933,167.580576,0.0006587,0.6547413,0,0,0,-999
0.37658309,32536.77898,168.580224,0.0006587,0.6547413,0,0,0,-999
0.37659465,32537.77776,169.579008,0.0006587,0.6547413,0,0,0,-999
0.37660624,32538.77914,170.580384,0.0006587,0.6547413,0,0,0,-999
0.37661782,32539.77965,171.580896,0.0006587,0.6547413,0,0,0,-999
