Day fraction since midnight on 3/7/2020	Effluent Fluoride (volts)	Influent Fluoride (volts)	Turbidity ()	Water flow (mL/s)	Clay flow (mL/s)	Coag pump control ()	Fluoride pump control ()	water pump control (rpm)	Clay pump control ()
0.40534460	0.08478179	0.56170732	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40540248	0.08468598	0.56179315	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40546034	0.08468601	0.56187057	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40551820	0.08465617	0.56186414	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40557609	0.08467295	0.56185389	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40563395	0.08461399	0.56185335	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40569182	0.08464456	0.56190425	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40574969	0.08465835	0.56195867	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40580756	0.08459222	0.56197870	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40586543	0.08459065	0.56198305	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40592330	0.08451728	0.56194198	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40598117	0.08452471	0.56198484	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40603904	0.08452276	0.56195849	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40609693	0.08454065	0.56198633	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40615480	0.08450471	0.56201339	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40621266	0.08447909	0.56201011	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40627054	0.08453739	0.56210089	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40632839	0.08446564	0.56196088	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40638626	0.08446199	0.56193626	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40644412	0.08442594	0.56194907	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40650201	0.08438650	0.56199098	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40655988	0.08439061	0.56194800	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40661775	0.08438491	0.56198865	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40667561	0.08434311	0.56200480	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40673348	0.08433014	0.56197637	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40679136	0.08431431	0.56198847	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40684923	0.08431955	0.56200665	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40690709	0.08431255	0.56205279	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40696496	0.08425656	0.56206256	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40702283	0.08426169	0.56210446	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	30.31080000	0.00000000
0.40708071	0.08423278	0.56210136	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40713858	0.08420474	0.56203187	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40719646	0.08420035	0.56204110	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40725432	0.08416319	0.56199580	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40731218	0.08419355	0.56207651	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40737006	0.08417195	0.56209695	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40742793	0.08412278	0.56208110	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40748580	0.08410028	0.56204689	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40754368	0.08410832	0.56214392	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40760154	0.08404510	0.56207830	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40765941	0.08404960	0.56206584	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40771728	0.08403500	0.56205559	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40777514	0.08401508	0.56203598	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40783302	0.08400025	0.56204963	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40789090	0.08396941	0.56212622	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40794876	0.08397743	0.56214470	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40800664	0.08404051	0.56209803	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40806451	0.08513698	0.56210524	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40812238	0.08480073	0.56208193	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40818024	0.08461259	0.39102274	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40823810	0.08450813	0.36677015	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40829599	0.08441992	0.36955291	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40835367	0.08434676	0.37137437	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40841127	0.08428994	0.37265897	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40846886	0.08424211	0.37363246	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40852647	0.08418752	0.37443921	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40858408	0.08416561	0.37509000	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40864168	0.08412516	0.37564173	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40869927	0.08408306	0.37609169	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40875689	0.08406339	0.37647226	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40881451	0.08402525	0.37678885	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40887209	0.08399685	0.37706837	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40892971	0.08396469	0.37730995	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40898732	0.08393767	0.37752441	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40904491	0.08392806	0.37770033	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40910251	0.08388490	0.37786105	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40916011	0.08387420	0.37798864	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40921772	0.08385976	0.37809727	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40927531	0.08383626	0.37818876	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40933293	0.08382545	0.37825909	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40939051	0.08381668	0.37832305	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40944813	0.08378264	0.37839061	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40950573	0.08376839	0.37881157	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40956332	0.08377106	0.37951887	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40962092	0.08372843	0.37953022	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40967852	0.08371952	0.37930620	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40973613	0.08371441	0.37914038	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40979373	0.08369044	0.37908116	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40985135	0.08369995	0.37792403	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40990895	0.08366615	0.37805939	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.40996655	0.08366401	0.37818226	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41002414	0.08364529	0.37823075	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41008174	0.08364208	0.37825558	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41013936	0.08363895	0.37826687	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41019696	0.08362634	0.37824598	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41025455	0.08361812	0.37821853	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41031216	0.08360080	0.37818766	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41036977	0.08360957	0.37815109	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41042737	0.08358631	0.37811449	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41048497	0.08358244	0.37807971	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41054257	0.08358230	0.37801799	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41060017	0.08358683	0.37797368	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41065779	0.08356893	0.37792382	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41071539	0.08357299	0.37787449	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41077298	0.08355799	0.37783077	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41083058	0.08356193	0.37776881	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41088818	0.08355732	0.37770784	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41094580	0.08354340	0.37765875	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41100339	0.08355626	0.37757677	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41106102	0.08354714	0.37751496	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41111861	0.08353616	0.37746578	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41117621	0.08354797	0.37739244	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41123380	0.08353531	0.37732941	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41129141	0.08354902	0.37725770	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41134901	0.08354668	0.37719944	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41140663	0.08352488	0.37712732	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41146421	0.08353478	0.37704894	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41152182	0.08352586	0.37697333	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41157942	0.08353616	0.37690821	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41163701	0.08352821	0.37684172	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41169463	0.08352131	0.37675723	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41175222	0.08352762	0.37668389	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41181003	0.08352491	0.37661704	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41186790	0.08351590	0.37652817	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41192576	0.08352715	0.37645966	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41198362	0.08351044	0.37637150	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41204151	0.08352332	0.37628654	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41209937	0.08352081	0.37621063	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41215726	0.08351946	0.37613252	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41221512	0.08350505	0.37605873	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41227301	0.08351546	0.37597197	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41233085	0.08350592	0.37589601	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41238872	0.08352122	0.37580779	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41244659	0.08351637	0.37572944	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41250447	0.08350030	0.37565085	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41256233	0.08350232	0.37559071	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41262020	0.08350331	0.37548783	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
