Day fraction since midnight on 7/15/2019	Fluoride Probe (volts)	Fluoride Concentration (mg/L)	pH (volts)	Turbidity (1)	Time (sec)
start
0.50822271	0.13128547	0.58186128	0.10892945	0.15000001	6319.99152
0.50828057	0.13039425	0.60563914	0.15249158	0.16	6324.990624
0.50833845	0.13037367	0.606199546	0.11646172	0.16	6329.991456
0.50839632	0.13060239	0.600000401	0.09352581	0.16	6334.991424
0.50845418	0.13101882	0.588875961	0.07694385	0.16	6339.990528
0.50851205	0.13066572	0.598295162	0.06452763	0.15000001	6344.990496
0.50856992	0.13119839	0.58414283	0.0546747	0.15000001	6349.990464
0.50862778	0.13080494	0.594563509	0.04651211	0.14	6354.989568
0.50868563	0.1307268	0.596655099	0.03981377	0.14	6359.987808
0.50874352	0.13019916	0.610972444	0.03413665	0.13	6364.989504
0.50880139	0.13044403	0.604285743	0.02931409	0.13	6369.989472
0.50885926	0.13040633	0.605310436	0.02514783	0.14	6374.98944
0.5089171	0.13076662	0.59558831	0.0215243	0.14	6379.986816
0.50897499	0.1307113	0.597070864	0.01834875	0.14	6384.988512
0.50903285	0.13067886	0.597941959	0.01550186	0.14	6389.987616
0.50909072	0.13006368	0.614703757	0.01300045	0.14	6394.987584
0.50914857	0.13031147	0.607896442	0.01075698	0.14	6399.985824
0.50920645	0.13008972	0.613984813	0.00892728	0.14	6404.986656
0.50926432	0.12993971	0.618138031	0.00697283	0.14	6409.986624
0.50932219	0.12976497	0.623011366	0.0053361	0.15000001	6414.986592
0.50938006	0.12986948	0.620092082	0.00383652	0.15000001	6419.98656
0.50943791	0.13026311	0.609219046	0.0024329	0.14	6424.9848
0.50949577	0.13000055	0.616450223	0.00116512	0.14	6429.983904
0.50955366	0.12976602	0.622981968	-0.00000643	0.15000001	6434.9856
0.50961153	0.13025358	0.609480023	-0.0010906	0.14	6439.985568
0.5096694	0.12998429	0.616900852	-0.00210525	0.14	6444.985536
0.50972724	0.12986271	0.620280774	-0.00309933	0.14	6449.982912
0.50978513	0.12965083	0.62621535	-0.00397826	0.14	6454.984608
0.509843	0.1299783	0.617066942	-0.0048143	0.14	6459.984576
0.50990085	0.13025028	0.609570419	-0.0055813	0.14	6464.982816
0.50995871	0.13022444	0.610278708	-0.00630821	0.15000001	6469.98192
0.5100166	0.12999369	0.6166403	-0.00698456	0.15000001	6474.983616
0.51007447	0.13020988	0.610678168	-0.00763366	0.15000001	6479.983584
0.51013231	0.13010007	0.613699292	-0.00821518	0.15000001	6484.98096
0.5101902	0.12994829	0.617899727	-0.00877011	0.14	6489.982656
0.51024807	0.13060826	0.59984214	-0.00932168	0.14	6494.982624
0.51030591	0.13029703	0.608291062	-0.00984142	0.15000001	6499.98
0.51036379	0.13075617	0.595868084	-0.01031075	0.15000001	6504.980832
0.51042166	0.13109946	0.586745715	-0.01082611	0.15000001	6509.9808
0.51047952	0.13090707	0.591840823	-0.01133363	0.15000001	6514.979904
0.51053738	0.13138825	0.579179843	-0.01176786	0.15000001	6519.979008
0.51059526	0.13134705	0.580253227	-0.01178968	0.14	6524.97984
0.51065312	0.1315513	0.574951345	-0.0112946	0.14	6529.978944
0.51071098	0.13187499	0.566648107	-0.01105407	0.14	6534.978048
0.51076886	0.13218242	0.558873022	-0.01102966	0.15000001	6539.97888
0.51082671	0.13198391	0.563881161	-0.0111514	0.15000001	6544.97712
0.51088459	0.13214782	0.559742721	-0.01135959	0.15000001	6549.977952
0.51094245	0.13287494	0.541747377	-0.01161248	0.16	6554.977056
0.51100032	0.13316615	0.534703586	-0.01184242	0.15000001	6559.977024
0.51105817	0.13324907	0.53271472	-0.01213322	0.15000001	6564.975264
0.51111606	0.13286734	0.541932443	-0.01243039	0.15000001	6569.97696
0.51117392	0.13337058	0.529813614	-0.01271991	0.15000001	6574.976064
0.5112318	0.13324815	0.532736745	-0.01302912	0.15000001	6579.976896
0.51128967	0.1333129	0.531188774	-0.01333881	0.14	6584.976864
0.51134753	0.13347442	0.52734691	-0.01363047	0.14	6589.975968
0.51140539	0.13344634	0.528012811	-0.01394454	0.14	6594.975072
0.51146327	0.13347039	0.527442428	-0.01420386	0.16	6599.975904
0.51152113	0.13408324	0.513113806	-0.01453992	0.15000001	6604.975008
0.511579	0.13369186	0.522218795	-0.01483555	0.15000001	6609.974976
0.51163687	0.13392809	0.516704038	-0.0151565	0.14	6614.974944
0.51169472	0.13407642	0.513271098	-0.01543287	0.14	6619.973184
0.51175259	0.13441156	0.505598389	-0.01569662	0.14	6624.973152
0.51181046	0.13420808	0.510243079	-0.01600601	0.14	6629.97312
0.51186833	0.13473253	0.498357636	-0.01631206	0.14	6634.973088
0.5119262	0.13476323	0.497670533	-0.01657128	0.14	6639.973056
0.51198407	0.13487796	0.495111111	-0.01685673	0.13	6644.973024
0.51204194	0.13465616	0.500071007	-0.01712622	0.13	6649.972992
0.51209979	0.13528292	0.486181943	-0.01739744	0.14	6654.971232
0.51215767	0.13489899	0.494643398	-0.01767884	0.14	6659.972064
0.51221554	0.13567047	0.477787494	-0.01793425	0.14	6664.972032
0.5122734	0.1364726	0.460870728	-0.01817258	0.14	6669.971136
0.51233126	0.13655013	0.459267724	-0.0184608	0.14	6674.97024
0.51238913	0.13633381	0.463754325	-0.01869199	0.14	6679.970208
0.51244701	0.13670775	0.456025955	-0.01894428	0.14	6684.97104
0.51250487	0.1363495	0.463427436	-0.01917907	0.14	6689.970144
0.51256273	0.13571569	0.476817507	-0.01941409	0.14	6694.969248
0.51262061	0.1356087	0.479115676	-0.01961489	0.14	6699.97008
Floc blanket height: 3 cm		212.4207106			#VALUE!
0.51267847	0.13629459	0.464572452	-0.01988487	0.14	6704.969184
0.51273633	0.13599484	0.470873071	-0.02008569	0.14	6709.968288
0.5127942	0.13591833	0.472494922	-0.02032327	0.13	6714.968256
0.51285207	0.13623017	0.465919382	-0.02054845	0.14	6719.968224
0.51290993	0.13655287	0.459211174	-0.02078009	0.14	6724.967328
0.51296782	0.13689066	0.452292719	-0.02098935	0.14	6729.969024
0.5130257	0.13678701	0.454404471	-0.02118791	0.15000001	6734.969856
0.51308356	0.13686982	0.452716521	-0.02143891	0.15000001	6739.96896
0.51314143	0.13680734	0.453989495	-0.02160823	0.16	6744.968928
0.51319931	0.13704628	0.449140552	-0.02182582	0.15000001	6749.96976
0.51325718	0.13745391	0.440987529	-0.02201421	0.15000001	6754.969728
0.51331504	0.13762562	0.43759761	-0.02223696	0.14	6759.968832
0.51337292	0.13695151	0.451057544	-0.0223874	0.14	6764.969664
0.51343081	0.1372904	0.44423997	-0.02257693	0.14	6769.97136
0.51348867	0.13749827	0.440109261	-0.02278582	0.15000001	6774.970464
0.51354654	0.13807984	0.428755453	-0.022984	0.15000001	6779.970432
0.51360442	0.13809931	0.428380456	-0.02315315	0.15000001	6784.971264
0.51366229	0.13839042	0.42281256	-0.02334855	0.14	6789.971232
0.51372015	0.13798515	0.430583891	-0.02354393	0.15000001	6794.970336
0.51377804	0.13805673	0.429200983	-0.02373079	0.15000001	6799.972032
0.51383592	0.13831781	0.424194519	-0.02389531	0.15000001	6804.972864
0.51389379	0.13750669	0.439942754	-0.02405364	0.16	6809.972832
0.51395166	0.13809708	0.42842339	-0.02427379	0.16	6814.9728
0.51400953	0.13823172	0.425838892	-0.02446576	0.16	6819.972768
0.5140674	0.13832609	0.424036701	-0.02460857	0.15000001	6824.972736
0.51412527	0.13792555	0.431738747	-0.02481735	0.14	6829.972704
0.51418314	0.13903125	0.410809441	-0.02497375	0.14	6834.972672
0.51424101	0.13824198	0.425642586	-0.02510843	0.15000001	6839.97264
0.5142989	0.13869309	0.417100286	-0.0253072	0.14	6844.974336
0.51435676	0.13864252	0.418049293	-0.02548294	0.15000001	6849.97344
0.51441463	0.13834777	0.423623755	-0.02564445	0.15000001	6854.973408
0.51447251	0.13865146	0.417881366	-0.02567551	0.14	6859.97424
0.51453037	0.13900612	0.411273657	-0.02544898	0.14	6864.973344
0.51458825	0.13863611	0.418169738	-0.02582053	0.14	6869.974176
0.51464614	0.13889617	0.413310895	-0.0260815	0.14	6874.975872
0.514704	0.1384791	0.421130852	-0.02632312	0.14	6879.974976
0.51476188	0.13897671	0.411817602	-0.02651496	0.14	6884.975808
0.51481974	0.13862453	0.418387417	-0.0267097	0.14	6889.974912
0.51487762	0.13900644	0.411267743	-0.0268635	0.13	6894.975744
0.51493549	0.13944902	0.403168458	-0.02697727	0.13	6899.975712
0.51499336	0.13915133	0.408598476	-0.02715756	0.13	6904.97568
0.51505125	0.13867633	0.417414569	-0.02732141	0.13	6909.977376
0.51510911	0.13883482	0.414452018	-0.02748678	0.13	6914.97648
0.51516699	0.13883375	0.414471948	-0.02762466	0.13	6919.977312
0.51522486	0.13880605	0.41498823	-0.02778601	0.13	6924.97728
0.51528274	0.13870095	0.416952977	-0.02791969	0.12	6929.978112
0.51534059	0.1390754	0.409995145	-0.02805282	0.12	6934.976352
0.51539848	0.13890199	0.413202805	-0.02815518	0.13	6939.978048
0.51545636	0.13839087	0.422804009	-0.028303	0.13	6944.97888
0.51551422	0.13940914	0.403891682	-0.02845675	0.13	6949.977984
