Effluent Fluoride Concentration	(mg/L) Uptake (mg Fluoride/g PACl)
0	0
0.05	3.314314115
0.1	6.589328063
0.15	9.825736739
0.2	13.02421875
0.25	16.18543689
0.3	19.31003861
0.35	22.39865643
0.4	25.4519084
0.45	28.47039848
0.5	31.45471698
0.55	34.4054409
0.6	37.32313433
0.65	40.20834879
0.7	43.06162362
0.75	45.88348624
0.8	48.67445255
0.85	51.43502722
0.9	54.16570397
0.95	56.86696589
1	59.53928571
1.05	62.18312611
1.1	64.79893993
1.15	67.38717047
1.2	69.94825175
1.25	72.4826087
1.3	74.99065744
1.35	77.47280551
1.4	79.92945205
1.45	82.36098807
1.5	84.76779661
1.55	87.15025295
1.6	89.50872483
1.65	91.84357262
1.7	94.1551495
1.75	96.44380165
1.8	98.70986842
1.85	100.9536825
1.9	103.17557
1.95	105.3758509
2	107.5548387
2.05	109.7128411
2.1	111.8501597
2.15	113.9670906
2.2	116.0639241
2.25	118.1409449
2.3	120.1984326
2.35	122.2366615
2.4	124.2559006
2.45	126.2564142
2.5	128.2384615
2.55	130.2022971
2.6	132.1481707
2.65	134.0763278
2.7	135.9870091
2.75	137.8804511
2.8	139.7568862
2.85	141.6165425
2.9	143.4596439
2.95	145.2864106
3	147.0970588
3.05	148.8918009
3.1	150.6708455
3.15	152.4343977
3.2	154.182659
3.25	155.9158273
3.3	157.6340974
3.35	159.3376605
3.4	161.0267045
3.45	162.7014144
3.5	164.3619718
3.55	166.0085554
3.6	167.6413408
3.65	169.2605007
3.7	170.866205
3.75	172.4586207
3.8	174.0379121
3.85	175.6042408
3.9	177.1577657
3.95	178.6986431
4	180.227027
4.05	181.7430686
4.1	183.2469169
4.15	184.7387183
4.2	186.218617
4.25	187.686755
4.3	189.1432718
4.35	190.5883049
4.4	192.0219895
4.45	193.4444589
4.5	194.8558442
4.55	196.2562743
4.6	197.6458763
4.65	199.0247754
4.7	200.3930946
4.75	201.7509554
4.8	203.0984772
4.85	204.4357775
4.9	205.7629723
4.95	207.0801757
5	208.3875
5.05	209.685056
5.1	210.9729529
5.15	212.2512979
5.2	213.520197
5.25	214.7797546
5.3	216.0300733
5.35	217.2712546
5.4	218.5033981
5.45	219.7266022
5.5	220.9409639
5.55	222.1465786
5.6	223.3435407
5.65	224.5319428
5.7	225.7118765
5.75	226.883432
5.8	228.0466981
5.85	229.2017626
5.9	230.3487119
5.95	231.4876313
6	232.6186047
6.05	233.7417149
6.1	234.8570439
6.15	235.964672
6.2	237.0646789
6.25	238.1571429
6.3	239.2421412
6.35	240.3197503
6.4	241.3900452
6.45	242.4531003
6.5	243.5089888
6.55	244.5577828
6.6	245.5995536
6.65	246.6343715
6.7	247.662306
6.75	248.6834254
6.8	249.6977974
6.85	250.7054885
6.9	251.7065646
6.95	252.7010905
7	253.6891304
7.05	254.6707476
7.1	255.6460043
7.15	256.6149623
7.2	257.5776824
7.25	258.5342246
7.3	259.4846482
7.35	260.4290117
7.4	261.3673729
7.45	262.2997888
7.5	263.2263158
7.55	264.1470094
7.6	265.0619247
7.65	265.9711157
7.7	266.8746362
7.75	267.7725389
7.8	268.664876
7.85	269.5516993
7.9	270.4330595
7.95	271.3090072
8	272.1795918
8.05	273.0448627
8.1	273.9048682
8.15	274.7596562
8.2	275.6092742
8.25	276.4537688
8.3	277.2931864
8.35	278.1275724
8.4	278.9569721
8.45	279.78143
8.5	280.6009901
8.55	281.415696
8.6	282.2255906
8.65	283.0307164
8.7	283.8311155
8.75	284.6268293
8.8	285.4178988
8.85	286.2043647
8.9	286.9862669
8.95	287.7636451
9	288.5365385
9.05	289.3049856
9.1	290.0690249
9.15	290.828694
9.2	291.5840304
9.25	292.3350711
9.3	293.0818526
9.35	293.8244109
9.4	294.562782
9.45	295.2970009
9.5	296.0271028
9.55	296.7531221
9.6	297.4750929
9.65	298.1930491
9.7	298.907024
9.75	299.6170507
9.8	300.3231618
9.85	301.0253896
9.9	301.723766
9.95	302.4183227
10	303.1090909
10.05	303.7961015
10.1	304.4793852
10.15	305.158972
10.2	305.8348921
10.25	306.5071749
10.3	307.1758497
10.35	307.8409456
10.4	308.5024911
10.45	309.1605146
10.5	309.8150442
10.55	310.4661077
10.6	311.1137324
10.65	311.7579456
10.7	312.3987741
10.75	313.0362445
10.8	313.6703833
10.85	314.3012163
10.9	314.9287695
10.95	315.5530683
11	316.1741379
11.05	316.7920034
11.1	317.4066895
11.15	318.0182207
11.2	318.6266212
11.25	319.2319149
11.3	319.8341256
11.35	320.4332769
11.4	321.0293919
11.45	321.6224937
11.5	322.212605
11.55	322.7997485
11.6	323.3839465
11.65	323.965221
11.7	324.543594
11.75	325.1190871
11.8	325.6917219
11.85	326.2615194
11.9	326.8285008
11.95	327.3926869
12	327.9540984
12.05	328.5127555
12.1	329.0686786
12.15	329.6218877
12.2	330.1724026
12.25	330.7202429
12.3	331.2654281
12.35	331.8079774
12.4	332.34791
12.45	332.8852446
12.5	333.42
12.55	333.9521947
12.6	334.4818471
12.65	335.0089754
12.7	335.5335975
12.75	336.0557312
12.8	336.5753943
12.85	337.0926042
12.9	337.6073783
12.95	338.1197338
13	338.6296875
13.05	339.1372564
