Influent Fluoride (mg/L), Effluent Fluoride (mg/L), Influent PACl (g/L), Influent Clay (mg/L), Experimental W (mg F/g PaCl), Upflow Velocity (mm/s)
4.142154872, 3.062946848, 0.015, 0, 71.9472016, 1.0
4.867447019, 3.808021403, 0.015, 0, 70.6283746, 1.0
3.480262763, 2.883260936, 0.015, 0, 39.8001218, 1.0
3.132138898, 2.094000728, 0.015, 0, 69.20921127, 1.0
3.277092306, 2.037925162, 0.015, 0, 82.60937907, 1.0
3.483007722, 2.434033441, 0.015, 0, 69.93161873, 1.0
3.788434182, 2.412591962, 0.015, 0, 91.72281467, 1.5
3.755061743, 2.370273976, 0.015, 0, 92.31918447, 1.5
4.212808479, 2.267698056, 0.015, 0, 129.674028, 1.0
3.396563098, 2.318497764, 0.015, 0, 71.87102227, 1.0
5.271576002, 3.177717791, 0.02368, 0, 88.42306634, 1.84
4.759811838, 3.897774414, 0.01115, 0, 77.31277345, 1.84
3.549304962, 1.323731328, 0.025, 0, 89.02294536, 1.5
4.688899625, 3.379820638, 0.00872, 0, 150.123737, 1.0
4.44646789, 2.259716842, 0.0189, 0, 115.7011137, 1.17
