Influent Fluoride (mg/L), Effluent Fluoride (mg/L), Influent PACl (g/L), Influent Clay (mg/L), Experimental W (mg F/g PaCl)
4.142154872, 3.062946848, 0.015, 0, 71.9472016
4.867447019, 3.808021403, 0.015, 0, 70.6283746
3.480262763, 2.883260936, 0.015, 0, 39.8001218
3.132138898, 2.094000728, 0.015, 0, 69.20921127
3.277092306, 2.037925162, 0.015, 0, 82.60937907
3.483007722, 2.434033441, 0.015, 0, 69.93161873
3.788434182, 2.412591962, 0.015, 0, 91.72281467
3.755061743, 2.370273976, 0.015, 0, 92.31918447
4.212808479, 2.267698056, 0.015, 0, 129.674028
3.396563098, 2.318497764, 0.015, 0, 71.87102227
5.271576002, 3.177717791, 0.02368, 0, 88.42306634
3.614396205, 2.257547708, 0.015, 6, 90.45656647
4.759811838, 3.897774414, 0.01115, 0, 77.31277345
3.241694576, 2.567431125, 0.010, 6, 67.4263451
3.549304962, 1.323731328, 0.025, 0, 89.02294536
4.44646789, 2.259716842, 0.0189, 0, 115.7011137
5.257665471, 2.38022523, 0.0189, 0, 152.245515, 1.17
