Experiment, Influent Fluoride (mg/L), Effluent Fluoride (mg/L), Influent PACl (g/L), Influent Clay (mg/L), Experimental W (mg F/g PaCl), Upflow Velocity (mm/s)
1, 4.142154872, 3.062946848, 0.015, 0, 71.9472016, 1.0
14, 3.614396205, 2.257547708, 0.015, 6, 90.45656647, 1.0
16, 3.241694576, 2.567431125, 0.010, 6, 67.4263451, 1.0
23, 3.093298874, 2.367799169, 0.010, 6, 72.5499705, 1.0
26, 3.300990498, 0.967239563, 0.040, 0, 58.34377338, 1.0
27, 2.70858874, 1.3. 0.040, 0, 35.2147185, 1.0
28, 2.714598185, 1.31, 0.040, 0, 35.11495463, 1.32
29, 4.02273693, 1.31, 0.040, 0, 67.81842325, 1.32
32, 3.275250911, 1.75, 0.035, 0, 43.57859746, 1.32
50, 3.659490296, 1.32, 0.040, 0, 58.5872574, 1.3
51, 3.134882433, 1.22, 0.040, 0, 47.87206083, 1.3
